,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,84154,경주 호텔 라쿠스,모텔,motel,50000,0,⚡넷플릭스&웨이브가능/스파월풀/펜션형/스타일러/호캉스⚡    ⚡조식제공/공기청정기/호텔침구/Drive-in/쿠폰Click⚡,경북,경주,300000025,200000267,35.78339593553564,129.32354544232456
1,1,80316,경주 호텔 별,모텔,motel,50000,0,⛲넷플릭스가능/사우나/헬스장/간편조식/배그가능PC/스타일러/65''TV/펜션룸(바베큐)⛲,경북,경주,300000025,200000267,35.8407846,129.2037731
2,2,87219,경주 덴바스타호텔 헤리티지 경주점,모텔,motel,79500,0,✨ 경주 No1. 최대규모 100평 이상의 라운지 시설 ✨,경북,경주,300000025,200000267,35.83903725460766,129.20409098962392
3,3,78982,경주 불국사 넘버25 경주불국사점,모텔,motel,50000,0,⚡만족도 100% 재 방문 의사 100%⚡,경북,경주,300000025,200000267,35.7770663,129.3036701
4,4,72893,경주 블루모아,모텔,motel,44000,0,❤️경주월드&캘포비치 할인쿠폰증정 EVENT❤️,경북,경주,300000025,200000267,35.840424,129.20301410000002
5,5,88339,경주 브라운도트 경주양남점,모텔,motel,77000,77000,✌복층/편백욕조/넷플릭스/스타일러/드라이브인✌,경북,경주,300000025,200000267,35.66993229156397,129.46340763601648
6,6,76410,경주 불국사 브라운도트 경주불국사점,모텔,motel,60000,75000,"✌ 보문단지, 경주월드까지 12분거리/복층룸 / 온천수 스파월풀 / 넷플릭스 가능 ✌",경북,경주,300000025,200000267,35.7823008,129.32478850000007
7,7,98464,경주 H Avenue 경주터미널점,모텔,motel,80000,0,,경북,경주,300000025,200000267,35.84017416958348,129.20302515879828
8,8,70952,"경주 추억만들기펜션(스파,조식제공,무료카페)",펜션,pension,59000,118000,,경북,경주,300000025,200000267,35.689013,129.3953759
9,9,80804,힐튼 경주,5성급,hotel,160000,490000,[힐튼 경주 x YANOLJA] 선착순 1만원 쿠폰할인 제공,경북,경주,300000025,200000267,35.840503,129.285494
10,10,70115,라한셀렉트 경주,5성급,hotel,200000,200000,,경북,경주,300000025,200000267,35.849894,129.277924
11,11,70028,소노벨 경주,리조트,resort,126000,126000,,경북,경주,300000025,200000267,35.846912,129.281623
12,12,80984,경주 사조리조트,리조트,resort,100000,100000,,경북,경주,300000025,200000267,35.783072,129.325663
13,13,92686,경주 블루원리조트,리조트,resort,100000,200000,,경북,경주,300000025,200000267,35.81789196834968,129.30565607759854
14,14,70019,코모도호텔 경주,4성급,hotel,139000,139000,,경북,경주,300000025,200000267,35.844664,129.285081
15,15,87909,한화리조트 경주 에톤동,리조트,resort,107000,107000,,경북,경주,300000025,200000267,35.860738,129.270121
16,16,70203,한화리조트 경주 담톤동,리조트,resort,107000,107000,,경북,경주,300000025,200000267,35.860105,129.270709
17,17,74168,경주 황남관 한옥호텔,호텔,hotel,299000,299000,,경북,경주,300000025,200000267,35.833653,129.209624
18,18,70227,경주 마우나 오션 리조트,리조트,resort,106000,106000,바데풀 2인 무료 제공!(제외일자 확인),경북,경주,300000025,200000267,35.690205,129.3741
19,19,70108,경주 성호리조트,리조트,resort,80000,250000,,경북,경주,300000025,200000267,35.763217,129.309038
20,20,88708,호텔팰리스 경주,호텔,hotel,90000,90000,황리단길 도보 10분,경북,경주,300000025,200000267,35.844191654389356,129.20892973317177
21,21,70047,켄싱턴리조트 경주,리조트,resort,129000,129000,,경북,경주,300000025,200000267,35.860727,129.268382
22,22,88006,덴바스타 호텔 헤리티지 경주점,호텔,hotel,129500,129500,"⭐️싱글쿼터, 패밀리스위트, 스위트테라스룸(레드or스파클링 중 택 1) 현장에서 선택⭐️",경북,경주,300000025,200000267,35.839037,129.204091
23,23,78329,경주 리버틴 호텔,호텔,hotel,148000,148000,,경북,경주,300000025,200000267,35.840425,129.202729
