,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,72130,광주 상무 더블유 라운지호텔 (W LOUNGE HOTEL),모텔,motel,50000,0,♥손소독제 비치/신종코로나 대비 상시방역/상무지구 코로나 안심숙소♥,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.14997994517692,126.85072697044463
1,1,97692,광주 풍암동 브라운도트 풍암점,모텔,motel,50000,0,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.126172604064934,126.87921303047482
2,2,99398,광주 풍암동 넘버25 광주풍암점,모텔,motel,45000,0,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.12624635361674,126.8794590436625
3,3,99879,광주 금호 H Avenue 광주금호점,모텔,motel,58000,136000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.13155746323417,126.8588842358129
4,4,81382,광주 유탑 부티크 호텔&레지던스,호텔,hotel,105000,105000,"★단독 특가 진행 중 !
★광주 여행 강력 추천 호텔
★기아 챔피언스 필드 차량 10분 소요",광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.153184,126.851156
5,5,75617,홀리데이인 광주,4성급,hotel,0,0,#전객실 혜택 #수영장 무료이용,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.147479,126.838571
6,6,74430,두바이 비즈니스 광주호텔,호텔,hotel,0,0,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.154041,126.852824
7,7,74680,광주 스테이 53 호텔,호텔,hotel,72000,132000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.148743,126.850541
8,8,88612,상무 브라운도트 호텔,호텔,hotel,70000,187000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.15087725623061,126.84948915484186
9,9,79287,광주 어반라이프 호텔,호텔,hotel,65000,158000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.160457,126.884596
10,10,74456,광주 호텔B,호텔,hotel,88000,176000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.153626,126.852432
11,11,86622,라마다 플라자 광주 호텔,4성급,hotel,0,0,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.152045,126.850567
12,12,76736,광주 발렌타인호텔,호텔,hotel,65000,130000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.160455,126.884725
13,13,70073,광주 볼튼호텔,호텔,hotel,70000,70000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.15103,126.849968
14,14,74703,광주 벤처 호텔,호텔,hotel,99000,99000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.150653,126.849513
15,15,70217,호텔 더 메이 광주,호텔,hotel,66000,88000,,광주,서구 / 상무 / 유스퀘어,300000026,200000280,35.154517,126.852774
