,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,70018,롯데시티호텔 대전,4성급,hotel,209000,209000,,대전,유성구 / 충남대,300000029,200000305,36.376179,127.392679
1,1,80549,호텔 스카이파크 대전 1호점,호텔,hotel,161000,161000,,대전,유성구 / 충남대,300000029,200000305,36.42391,127.39869
2,2,77882,라마다 바이 윈덤 대전 (Ramada by Wyndham Daejeon),호텔,hotel,0,0,,대전,유성구 / 충남대,300000029,200000305,36.353117,127.34483
3,3,70586,스탕달 호텔,호텔,hotel,250000,250000,,대전,유성구 / 충남대,300000029,200000305,36.356809,127.344608
4,4,69919,베니키아 테크노밸리호텔,3성급,hotel,150000,270000,,대전,유성구 / 충남대,300000029,200000305,36.426289,127.392097
5,5,70275,대전 나무호텔,호텔,hotel,80000,80000,,대전,유성구 / 충남대,300000029,200000305,36.356668,127.340483
6,6,69956,호텔 인터시티,호텔,hotel,143750,143750,,대전,유성구 / 충남대,300000029,200000305,36.354213,127.347842
7,7,79509,대전 아이호텔(I-HOTEL),호텔,hotel,66000,66000,,대전,유성구 / 충남대,300000029,200000305,36.37485,127.393044
8,8,78306,호텔 얌 유성온천,호텔,hotel,60000,60000,,대전,유성구 / 충남대,300000029,200000305,36.356958,127.340968
9,9,99429,더휴식 아늑호텔 대전 유성온천 1호점,호텔,hotel,90000,90000,,대전,유성구 / 충남대,300000029,200000305,36.35455937312362,127.34518896778404
10,10,69869,유성호텔,3성급,hotel,207000,207000,,대전,유성구 / 충남대,300000029,200000305,36.35619,127.338866
11,11,95991,"호텔 오노마 대전, 오토그래프 컬렉션, 메리어트 인터내셔널",5성급,hotel,242000,242000,,대전,유성구 / 충남대,300000029,200000305,36.3789568749929,127.37881505777318
12,12,99421,더휴식 아늑호텔 대전 유성온천 2호점,호텔,hotel,80000,80000,,대전,유성구 / 충남대,300000029,200000305,36.35444757270814,127.34509246729577
13,13,70109,에스앤나봄호텔,호텔,hotel,0,0,,대전,유성구 / 충남대,300000029,200000305,36.425808,127.393281
14,14,72234,호텔 ICC,호텔,hotel,0,0,전 객실 기준인원-무료조식제공!,대전,유성구 / 충남대,300000029,200000305,36.37699,127.392684
15,15,93957,대전 유성 호텔 드레,호텔,hotel,60000,60000,,대전,유성구 / 충남대,300000029,200000305,36.353524176813494,127.3446287827447
16,16,76878,대전 프리모 호텔,호텔,hotel,70000,80000,,대전,유성구 / 충남대,300000029,200000305,36.353945,127.345153
17,17,69213,대전 유성 저스트슬립 유성온천점,모텔,motel,60000,60000,전객실 Netflix 시청가능 / 2인 천연온천수 욕조 / 고급 양말 증정,대전,유성구 / 충남대,300000029,200000305,36.3547663,127.34954100000004
18,18,68783,대전 유성 스테이,모텔,motel,70000,0,전객실 넷플릭스+55인치 TV+천연온천수,대전,유성구 / 충남대,300000029,200000305,36.3560312,127.3376225
19,19,68297,대전 유성 탑클라우드 호텔,모텔,motel,60000,0,생일을 맞이하신 모든 고객님들께 업그레이드 객실 제공,대전,유성구 / 충남대,300000029,200000305,36.3553007,127.34942369999999
20,20,66940,대전 유성 베르겐 호텔,모텔,motel,70000,0,전 객실 넷플릭스 & 디즈니+ 시청가능,대전,유성구 / 충남대,300000029,200000305,36.3567188,127.35010599999998
21,21,86995,대전 유성 더휴식 아늑호텔-1호점,모텔,motel,90000,0,❤하이엔드 브랜드 고이고이 침구와 어메니티❤,대전,유성구 / 충남대,300000029,200000305,36.35455937312362,127.34518896778404
22,22,72562,대전 유성 호텔 드레,모텔,motel,70000,0,,대전,유성구 / 충남대,300000029,200000305,36.3535329,127.3446347
23,23,86996,대전 유성 더휴식 아늑호텔-2호점,모텔,motel,80000,0,❤하이엔드 브랜드 고이고이 침구와 어메니티❤,대전,유성구 / 충남대,300000029,200000305,36.35444757270814,127.34509246729577
24,24,80665,대전 유성 호텔 드메르,모텔,motel,65000,0,★ 전 객실 넷플릭스 설치 및 전객실 천연온천수 ★,대전,유성구 / 충남대,300000029,200000305,36.3569512,127.34134180000001
25,25,69475,대전 유성 파로스,모텔,motel,50000,0,★ 출장고객 전화예약 (연박가능)★,대전,유성구 / 충남대,300000029,200000305,36.358835,127.35129770000003
26,26,73186,대전 유성 세르보,모텔,motel,60000,0,❤️ 예약문의 042 822 1350 ❤️,대전,유성구 / 충남대,300000029,200000305,36.352691,127.3479571
27,27,69500,대전 유성 자우리,모텔,motel,60000,0,투숙객 전원 로비 공용 스타일러 사용가능,대전,유성구 / 충남대,300000029,200000305,36.3583492,127.3420126
28,28,67962,대전 유성 호텔 프리모,모텔,motel,60000,0,"★ 5성급호텔 침구류,천연온천수,65인치 UHD TV,노하드시스템PC",대전,유성구 / 충남대,300000029,200000305,36.353978,127.3451503
29,29,67761,대전 유성 럭셔리,모텔,motel,50000,45000,▶일요일 숙박 가격할인 이벤트!!,대전,유성구 / 충남대,300000029,200000305,36.3566708,127.3406665
30,30,84551,대전 유성 만월 호텔(한옥),모텔,motel,60000,0,"따뜻한객실,한옥감성,최상급매트리스,고사양PC,넷플릭스,배달음식시켜먹기넘나좋은곳",대전,유성구 / 충남대,300000029,200000305,36.357112,127.3378467
31,31,67213,대전 유성 헤라,모텔,motel,40000,0,★전객실 2인기준,대전,유성구 / 충남대,300000029,200000305,36.355341,127.34992169999998
32,32,70444,대전 유성 Hotel LOD 1호점,모텔,motel,55000,0,"출장 전화 예약 환영,대형주차장완비!!~",대전,유성구 / 충남대,300000029,200000305,36.3569572,127.3411635
33,33,82773,대전 유성 나무호텔,모텔,motel,70000,0,"무료조식운영,전객실 넷플릭스 설치, 천연온천수",대전,유성구 / 충남대,300000029,200000305,36.35675848501425,127.34046266767777
34,34,81310,대전 유성 시네마e텔,모텔,motel,50000,50000,,대전,유성구 / 충남대,300000029,200000305,36.3542574,127.342195
35,35,67863,대전 유성 파라곤호텔(pc텔),모텔,motel,55000,60000,주차장70대 완비/매일 AM 7:00~9:00 조식제공,대전,유성구 / 충남대,300000029,200000305,36.3571077,127.34196270000007
36,36,66852,대전 유성 스파타워,모텔,motel,55000,0,22년5월리뉴얼완료!새로운스파타워를만나보세요!,대전,유성구 / 충남대,300000029,200000305,36.3558738,127.35085049999998
37,37,67273,대전 유성 메이호텔,모텔,motel,55000,0,★24시간 스낵바 무한 제공★,대전,유성구 / 충남대,300000029,200000305,36.354777,127.3427638
38,38,67254,대전 유성 잉카의태양,모텔,motel,45000,0,최신식노하드PC 최고급 사양,대전,유성구 / 충남대,300000029,200000305,36.3564871,127.350732
39,39,83818,대전 유성계룡스파텔,펜션,pension,97000,97000,,대전,유성구 / 충남대,300000029,200000305,36.3557546904222,127.347433469512
40,40,74631,대전 YAM 대전유성온천점,모텔,motel,55000,0,전객실 주기적으로 소독중입니다.,대전,유성구 / 충남대,300000029,200000305,36.3569639,127.34096669999997
41,41,67463,대전 유성 2X,모텔,motel,55000,55000,☆최장 8시간! 무한대실 이벤트☆,대전,유성구 / 충남대,300000029,200000305,36.3584051,127.3485139
42,42,66775,대전 유성 뉴큐피트,모텔,motel,45000,40000,★마일리지적립 서비스 실시 숙박 10회 이용시 무료 1회 이용 가능,대전,유성구 / 충남대,300000029,200000305,36.3563369,127.3375319
43,43,68776,대전 유성 드라마,모텔,motel,50000,60000,대전 유성 드라마입니다.,대전,유성구 / 충남대,300000029,200000305,36.3545226,127.3396959
44,44,84223,경하온천호텔,호텔,hotel,60000,60000,,대전,유성구 / 충남대,300000029,200000305,36.355714,127.349611
45,45,68778,대전 유성 샤모니,모텔,motel,50000,0,"천연온천수 가족탕, 전객실 넷플리스, 무한간식",대전,유성구 / 충남대,300000029,200000305,36.3572013,127.34924520000004
46,46,66807,대전 유성 모텔나인,모텔,motel,45000,45000,전객실 영화 시네마 관람 서비스,대전,유성구 / 충남대,300000029,200000305,36.35895,127.3515564
47,47,67174,대전 유성 피카소,모텔,motel,50000,0,간단 조식 제공/토스트.한강라면 제공,대전,유성구 / 충남대,300000029,200000305,36.3563444,127.3377067
48,48,80623,대전 유성 렉시,모텔,motel,60000,0,"숙박 이용 시 조식제공(토스트,간식)",대전,유성구 / 충남대,300000029,200000305,36.3559527,127.3504499
49,49,79314,대전 유성 대성모텔,모텔,motel,33000,0,,대전,유성구 / 충남대,300000029,200000305,36.3538954,127.3478402
50,50,66716,대전 유성 시나브로,모텔,motel,60000,0,,대전,유성구 / 충남대,300000029,200000305,36.3568735,127.349172
51,51,76093,대전 유성 K7 PC텔,모텔,motel,50000,0,"▶ 예약시 A,B동을 확인해주세요.(건물과 주차장이 다릅니다.)",대전,유성구 / 충남대,300000029,200000305,36.3574039,127.34139660000005
52,52,67841,대전 유성 써클,모텔,motel,40000,0,"넷플릭스,천연온천수,기가와이파이,아로마 디퓨져",대전,유성구 / 충남대,300000029,200000305,36.3559056,127.338346
53,53,92993,대전 유성 루바토(RUBATO),모텔,motel,70000,0,,대전,유성구 / 충남대,300000029,200000305,36.3570356,127.3405133
54,54,73297,대전 유성 칸느,모텔,motel,45000,0,전 객실 소독을 주기적으로 실시하고 있습니다,대전,유성구 / 충남대,300000029,200000305,36.3569717,127.34073990000002
55,55,67959,대전 유성 호텔 아트,모텔,motel,45000,45000,"❣️넷플릭스무료시청, 뽀글이라면 무료서비스❣️",대전,유성구 / 충남대,300000029,200000305,36.3571394,127.3407197
56,56,68782,대전 유성 더 샵,모텔,motel,60000,60000,전 객실 5.1채널 서라운드 영화 시스템 구축,대전,유성구 / 충남대,300000029,200000305,36.35667832,127.348948941
57,57,66936,대전 유성 체리,모텔,motel,36000,50000,대전 체리 상콤달콤 이벤트,대전,유성구 / 충남대,300000029,200000305,36.3558527,127.3511092
58,58,66896,대전 유성 MAC,모텔,motel,50000,0,생생후기작성시 주중숙박권3매or주중대실권5매 드립니다,대전,유성구 / 충남대,300000029,200000305,36.3560247,127.34996580000006
59,59,71123,대전 유성 호텔 루이스,모텔,motel,45000,0,대형 스크린으로 즐기는 영화감상,대전,유성구 / 충남대,300000029,200000305,36.3572062,127.341054
60,60,68780,대전 유성 초원모텔,모텔,motel,0,0,핫플레이스인 봉명동!,대전,유성구 / 충남대,300000029,200000305,36.354332658,127.344640446
61,61,68741,대전 유성 레몬트리호텔,모텔,motel,40000,0,,대전,유성구 / 충남대,300000029,200000305,36.352980495,127.345476159
62,62,72948,대전 유성 비앤비,모텔,motel,45000,45000,"❤️천연온천수❤️무료 넷플릭스❤️무료 유튜브❤️ 설치, 배그룸 I5-3세대, RAM16G,  GTX1060❤️",대전,유성구 / 충남대,300000029,200000305,36.3561094,127.34974149999994
63,63,82706,대전 유성 500호,모텔,motel,40000,40000,,대전,유성구 / 충남대,300000029,200000305,36.35898059098384,127.342550434915
64,64,68054,대전 유성 원,모텔,motel,50000,45000,,대전,유성구 / 충남대,300000029,200000305,36.3560899,127.3401708
65,65,100184,대전 유성 은하수디앤엠(D&M),호텔,hotel,195000,275000,오픈 이벤트 진행,대전,유성구 / 충남대,300000029,200000305,36.35312262666811,127.34583639284529
66,66,70534,대전 유성 보보스,모텔,motel,0,0,,대전,유성구 / 충남대,300000029,200000305,36.3538457,127.3481911
67,67,98124,대전 베가시티펜션,펜션,pension,179900,179900,,대전,유성구 / 충남대,300000029,200000305,36.353135768338,127.345823689704
