,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,81829,유에이치스위트 해운대,호텔,hotel,120000,120000,,부산,해운대,300000017,200000173,35.159841,129.16111
1,1,97755,부산 해운대 브라운도트 해운대점,모텔,motel,80000,0,,부산,해운대,300000017,200000173,35.161614362503016,129.15933162570389
2,2,68831,부산 해운대 호텔 와우,모텔,motel,55000,95000,"★2022년 그랜드 리뉴얼 OPEN  / 세스코 방역업소, 전 객실 넷플릭스시청가능★",부산,해운대,300000017,200000173,35.1605951,129.15919099999996
3,3,70146,이비스 버젯 앰배서더 부산 해운대,2성급,hotel,66000,66000,,부산,해운대,300000017,200000173,35.159063,129.154448
4,4,82533,하운드 해운대 2호점 가든&테라스,호텔,hotel,79000,79000,무료 숙박권 이벤트,부산,해운대,300000017,200000173,35.16117,129.157042
5,5,82536,하운드 해운대 1호점 시그니처,호텔,hotel,99000,99000,,부산,해운대,300000017,200000173,35.161027,129.156787
6,6,81713,그랜드 조선 부산,5성급,hotel,297000,297000,,부산,해운대,300000017,200000173,35.160064,129.163126
7,7,72711,신라스테이 해운대,4성급,hotel,176000,176000,★ 9月10月 연휴기간 연박 상품 추가 할인 제공★,부산,해운대,300000017,200000173,35.159634,129.1589
8,8,70088,파라다이스 호텔 부산,5성급,hotel,375100,829200,,부산,해운대,300000017,200000173,35.160134,129.164688
9,9,72981,라마다 앙코르 바이 윈덤 부산 해운대,호텔,hotel,100000,100000,,부산,해운대,300000017,200000173,35.163232,129.159548
10,10,75748,파크 하얏트 부산,5성급,hotel,0,0,,부산,해운대,300000017,200000173,35.156222,129.141544
11,11,81358,해운대 영무파라드호텔,호텔,hotel,89000,89000,,부산,해운대,300000017,200000173,35.160934,129.166523
12,12,76463,페어필드 바이 메리어트 부산,호텔,hotel,109000,109000,조식 1회 무료 프로모션,부산,해운대,300000017,200000173,35.161666,129.164838
13,13,81971,시그니엘 부산,5성급,hotel,326700,326700,,부산,해운대,300000017,200000173,35.15967,129.170284
14,14,84621,라비드아틀란 호텔 해운대Ⅱ,호텔,hotel,80000,80000,,부산,해운대,300000017,200000173,35.16113,129.161492
15,15,70249,한화리조트 해운대,리조트,resort,103000,103000,,부산,해운대,300000017,200000173,35.154493,129.145102
16,17,70030,웨스틴 조선 부산,5성급,hotel,326700,326700,,부산,해운대,300000017,200000173,35.15596,129.153982
17,18,87891,해운대 광수호텔,호텔,hotel,79000,79000,,부산,해운대,300000017,200000173,35.160251,129.156547
18,19,83114,해운대 폴에이리조트,리조트,resort,50000,50000,,부산,해운대,300000017,200000173,35.162318,129.166659
19,21,76541,해운대 썬클라우드 호텔,호텔,hotel,70000,70000,,부산,해운대,300000017,200000173,35.160462,129.162257
20,22,69896,베스트 루이스 해밀턴 해운대,호텔,hotel,73000,73000,,부산,해운대,300000017,200000173,35.159635,129.154603
21,23,76243,해운대 베이몬드 호텔,호텔,hotel,118000,300000,,부산,해운대,300000017,200000173,35.15955,129.156763
22,24,81336,해운대 더반호텔 스마트,호텔,hotel,76480,76480,,부산,해운대,300000017,200000173,35.159242,129.153885
23,25,93537,페어필드 바이 메리어트 부산 송도 비치,3성급,hotel,170500,170500,,부산,해운대,300000017,200000173,35.07769302171114,129.01926114459187
24,26,69912,MS 호텔 해운대,호텔,hotel,0,0,,부산,해운대,300000017,200000173,35.159817,129.161131
25,27,83110,해운대 센트럴 호텔,3성급,hotel,140000,140000,,부산,해운대,300000017,200000173,35.160951,129.167202
26,28,80564,펠릭스 by STX 호텔 앤 스위트,호텔,hotel,85000,85000,,부산,해운대,300000017,200000173,35.162971,129.158459
27,29,70233,베스트웨스턴 해운대 호텔,호텔,hotel,70000,70000,,부산,해운대,300000017,200000173,35.160328,129.161332
28,30,77941,더펫텔 프리미엄 스위트,호텔,hotel,107100,330000,,부산,해운대,300000017,200000173,35.159218,129.153149
29,31,78531,호텔 인트로 해운대,호텔,hotel,109000,109000,,부산,해운대,300000017,200000173,35.159039,129.153483
30,32,93138,해운대 코티스 앰배서더호텔,호텔,hotel,63000,63000,[투숙객 혜택 ①] 클럽디 오아시스 워터파크&스파 30%할인,부산,해운대,300000017,200000173,35.162288006208186,129.16078296385106
31,33,76089,해운대 소사이어티 호텔,호텔,hotel,50000,50000,,부산,해운대,300000017,200000173,35.16153,129.157795
32,34,73329,엘리시아,호텔,hotel,55000,55000,,부산,해운대,300000017,200000173,35.160187,129.16221
33,35,88796,해운대 블루스토리 호텔,호텔,hotel,70000,70000,,부산,해운대,300000017,200000173,35.159907158897894,129.1574820963365
34,36,69873,JB 디자인 호텔,2성급,hotel,65000,400000,,부산,해운대,300000017,200000173,35.161863,129.158375
35,39,85760,엘시티레지던스 와이컬렉션,호텔,hotel,220000,1300000,"☆워터파크 30% 방문할인적용, 숙박객 전용할인☆",부산,해운대,300000017,200000173,35.161064,129.168377
36,40,81707,엘시티 레지던스,호텔,hotel,320000,800000,,부산,해운대,300000017,200000173,35.161064,129.168377
37,41,70288,베니키아 호텔 해운대,호텔,hotel,70100,70100,,부산,해운대,300000017,200000173,35.162371,129.164924
38,42,70369,이비스 앰배서더 부산 해운대,호텔,hotel,66000,264000,,부산,해운대,300000017,200000173,35.159915,129.157928
39,43,85377,해운대 게리쿠퍼호텔,호텔,hotel,45000,230000,,부산,해운대,300000017,200000173,35.162023,129.15905
40,44,70080,호텔 일루아,호텔,hotel,90000,363200,,부산,해운대,300000017,200000173,35.158916,129.174484
41,45,99070,부산 브라운도트 해운대점,호텔,hotel,85000,100000,,부산,해운대,300000017,200000173,35.161614362503016,129.15933162570389
42,46,86835,온더웨이브 호텔,호텔,hotel,84000,400000,,부산,해운대,300000017,200000173,35.356111,129.350342
43,47,77548,해운대 씨클라우드 호텔 앤 레지던스,호텔,hotel,65000,65000,,부산,해운대,300000017,200000173,35.160462,129.162257
