,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,69450,역삼 카파스,모텔,motel,138800,0,"❤️Suit 객실 예약시 와인, 전 객실 음료 무료제공 / 전객실 넷플릭스존❤️",서울,강남 / 역삼 / 삼성,300000016,200000151,37.5015433,127.0411349
1,1,70287,카파스 호텔,2성급,hotel,118800,120000,❤️Suit 객실 예약시 와인 또는 무료음료  제공/전 객실 넷플릭스 시청가능❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.501458,127.041135
2,2,66994,역삼 아드리게,모텔,motel,69800,55000,❤️넓은 면적+전 객실 에이스 침대+스파욕조(일부)❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5008697,127.0390985
3,3,85926,역삼 브라운도트 역삼점,모텔,motel,90000,0,"✨넷플릭스,웨이브,티빙,디즈니+프리✨ 세라젬안마의자 운영☘️루프탑 단독 대관 이용(BBQ,노래방,빔프로젝트 사용가능)",서울,강남 / 역삼 / 삼성,300000016,200000151,37.50284516018402,127.040286243305
4,4,70392,역삼 XYM,모텔,motel,59800,0,❤️전객실 65'TV / 넷플릭스 Free / 유튜브 / OTT가능❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.501038,127.039672
5,5,73890,글래드 강남 코엑스센터,3성급,hotel,308490,308490,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.508793,127.064544
6,6,68173,역삼 리치웰,모텔,motel,79800,0,❤️선착순 할인 쿠폰/ 무료 주차 / 욕조 보유❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502839017175596,127.03982637116394
7,7,67307,논현(신사) 하이랜드,모텔,motel,85000,96800,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5187653,127.0267969
8,9,71089,호텔 인 나인 강남,호텔,hotel,238000,238000,"9, 10월 금요일마다 호텔 루프탑에서 뚝섬 드론 라이트쇼를 즐기세요!)",서울,강남 / 역삼 / 삼성,300000016,200000151,37.515469,127.060066
9,10,70213,신라스테이 역삼,호텔,hotel,199000,199000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.504696,127.041237
10,11,79482,신라스테이 삼성,호텔,hotel,308000,308000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.509887,127.063171
11,12,73846,L7 강남,4성급,hotel,319000,319000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.505725,127.051738
12,13,70400,인터컨티넨탈 서울 코엑스,5성급,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.513526,127.057161
13,14,81112,그랜드 인터컨티넨탈 서울 파르나스,5성급,hotel,1028500,1028500,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.509132,127.060851
14,15,82949,조선 팰리스 서울 강남 럭셔리 컬렉션 호텔,5성급,hotel,825000,825000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.503214,127.041506
15,16,72475,도미인 서울 강남,호텔,hotel,189900,189900,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.505607,127.029448
16,17,80481,파크 하얏트 서울,5성급,hotel,677600,677600,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.508624,127.064147
17,18,75600,에이든 바이 베스트웨스턴 청담,3성급,hotel,195000,300000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.520017,127.03045
18,19,69963,노보텔 앰배서더 강남,5성급,hotel,302500,302500,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.505377,127.02885
19,20,75853,호텔 크레센도 서울,3성급,hotel,220000,220000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.510712,127.046922
20,21,69852,베스트웨스턴 프리미어 강남,호텔,hotel,173000,300000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50634,127.029774
21,22,69895,호텔 삼정 강남,4성급,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.505795,127.031298
22,23,80457,오크우드 프리미어 서울 코엑스,5성급,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.510982,127.05809
23,24,69911,이비스 스타일 앰배서더 강남,호텔,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.505067,127.057053
24,25,74789,호텔 뉴브,3성급,hotel,165000,165000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502993,127.049089
25,26,88342,아난티 앳 강남,4성급,hotel,637200,637200,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.517546576606144,127.02953397253464
26,27,72671,호텔 유리앤,호텔,hotel,253000,253000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.508904,127.057602
27,28,90825,사월호텔,호텔,hotel,130000,130000,최상급 매트리스/SMART TV/넷플릭스&디즈니 FREE ZONE,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50169243838685,127.04184352138718
28,29,92672,마리호텔,호텔,hotel,120000,120000,전기차 충전 무료 이벤트,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50164787738782,127.04208750897966
29,30,69833,호텔 그라모스,호텔,hotel,300000,1355200,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502537,127.03985
30,31,86236,"보코서울강남, IHG 호텔",4성급,hotel,592900,592900,★24시간 공유 주방 and 셀프 세탁실 보유★,서울,강남 / 역삼 / 삼성,300000016,200000151,37.517763,127.024611
31,32,70243,호텔 더 디자이너스 리즈 강남,호텔,hotel,215000,260000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50517,127.025842
32,33,75032,파티오세븐 호텔,호텔,hotel,153000,153000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.51777,127.029241
33,34,70253,카푸치노 호텔,3성급,hotel,180000,180000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.506801,127.031485
34,35,88789,렉스관광호텔,호텔,hotel,108000,108000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.514368373933905,127.02053186090096
35,37,70194,인더시티 비즈니스 호텔,호텔,hotel,90000,140000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.503021,127.039979
36,38,73088,호텔 컬리넌 개포,호텔,hotel,100000,189000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.476808,127.04591
37,39,81361,강남 648호텔,호텔,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.500002,127.031876
38,41,85166,역삼 아르누보씨티 호텔 앤 레지던스,호텔,hotel,79900,500000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.503421,127.04284
39,42,70110,호텔 데님,2성급,hotel,120000,120000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.476083,127.04663
40,43,70260,호텔 페이토 삼성,3성급,hotel,264000,270000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.508408,127.058676
41,44,74673,오월호텔,1성급,hotel,220000,220000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.500582,127.041064
42,45,97582,AC 호텔 바이 메리어트 서울 강남,호텔,hotel,0,0,"도심 시티뷰★21F, 루프탑 바 클라우드",서울,강남 / 역삼 / 삼성,300000016,200000151,37.50124168345747,127.03542446670134
43,46,68377,역삼 CF,모텔,motel,70000,0,비흡연 고객을위한 금연객실 운영!!,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5012406,127.0422948
44,47,78817,선릉 HOTEL GRAY,모텔,motel,65000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5048662,127.05289909999999
45,48,72124,디 아티스트 호텔 역삼점,2성급,hotel,110000,300000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502355,127.03846
46,49,70005,제리스플래닛 호텔 강남,1성급,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.499008,127.028512
47,50,70063,베니키아 강남 노블레스,호텔,hotel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.501358,127.035778
48,51,80644,역삼 컬리넌,모텔,motel,79800,0,❤️넷플릭스 / 비데 / 욕조 / 최고급 대형 스위트룸❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5013942,127.0420928
49,52,89388,삼성 타라호텔,모텔,motel,200000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5066825,127.0518793
50,54,70119,H Avenue 역삼점,호텔,hotel,120000,120000,2004년생 생일지난 경우 입실가능,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502432,127.038733
51,55,80800,개포 호텔데님 (DENIM),모텔,motel,120000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4761867,127.0465993
52,56,74551,호텔 세느 강남,호텔,hotel,89000,150000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.503903,127.035093
53,58,70349,호텔 소울하다,호텔,hotel,130000,140000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4987567180495,127.03253042264815
54,59,68363,강남 호텔 더 디자이너스 리즈 프리미어,모텔,motel,240000,0,"넷플릭스 시청가능, 본인계정으로만 시청가능",서울,강남 / 역삼 / 삼성,300000016,200000151,37.5052097,127.0258797
55,60,77616,역삼 SUNG SIM,모텔,motel,60000,0,RTX 3070 게이밍 PC 셋업!170Hz 게이밍 모니터♥디즈니♥애플티비♥넷플릭스♥구글무비♥웨이브무료,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5007503,127.04008299999998
56,62,70571,역삼 Hotel The Artist,모텔,motel,110000,0,전 차종 주차 가능⭐무료 발렛 서비스✨무료 조식 서비스❤️,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502330485125945,127.03845690244675
57,63,69186,강남 캠퍼스,모텔,motel,80000,0,★강남역 1번 출구 도보 1분거리★,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4973142,127.0291977
58,64,66718,역삼 벤,모텔,motel,65000,0,"★전객실 넷플릭스 무료시청,고데기 공기청정기 설치~",서울,강남 / 역삼 / 삼성,300000016,200000151,37.5007057,127.0398487
59,65,79827,역삼 사월,모텔,motel,130000,0,최상급 매트리스/SMART TV/넷플릭스&디즈니 FREE ZONE,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5016745,127.0418242
60,66,86858,역삼 H Avenue 역삼점,모텔,motel,100000,0,★2004년생 생일지나야만 입실가능(환불불가)★,서울,강남 / 역삼 / 삼성,300000016,200000151,37.502493413182584,127.03874071403108
61,67,69776,대치 컬리넌,모텔,motel,80000,0,청결과 위생을 철저히합니다~!,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5051159,127.0542632
62,68,68815,삼성 JS 부띠끄호텔,모텔,motel,70000,0,24시간 직원 상시 근무증(19세미만예약불가),서울,강남 / 역삼 / 삼성,300000016,200000151,37.5064379,127.0514865
63,69,69396,역삼 아마레,모텔,motel,70000,0,"전객실 55인치스마트TV,넷플릭스 시청가능",서울,강남 / 역삼 / 삼성,300000016,200000151,37.4946337,127.0402482
64,70,79776,강남 소울하다,모텔,motel,120000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4987198,127.0325182
65,72,66715,강남 렉시,모텔,motel,80000,0,❤여름맞이 에어컨클리닝 실시,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4987923,127.03395580000006
66,73,72066,역삼 호텔스타 프리미어,모텔,motel,70000,70000,★2004년생 생일지나야만 입실가능(환불불가)★,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5027068,127.0403273
67,74,72951,역삼 녹스 호텔,모텔,motel,70000,0,"1. 주중 무한 대실 최장 10시간, 전 객실 넷플릭스 프리존",서울,강남 / 역삼 / 삼성,300000016,200000151,37.5027017,127.0397594
68,76,80894,개포 컬리넌,모텔,motel,90000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4768502,127.045925
69,77,75630,선릉 호텔 스타,모텔,motel,80000,0,스탠다드B 객실 (본인계정)넷플릭스 이용가능,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5053094,127.0494151
70,78,81610,삼성 라엠 (LaM),모텔,motel,65000,85000,전객실 넷플릭스 SMART VIEW 연동가능,서울,강남 / 역삼 / 삼성,300000016,200000151,37.516814,127.0657865
71,79,66773,역삼 A-NA HOTEL,모텔,motel,60000,60000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.501168,127.0404898
72,80,78517,역삼 호텔 예스(Hotel Yes),모텔,motel,70000,0,연박시 추가요금이 발생합니다.PC방 최고사양.전객실세스코비데및LG공기청정기설치. 넷플릭스.웨이브무료계정,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50112379999999,127.04114019999997
73,81,68796,강남 데미안호텔,모텔,motel,70000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4926942,127.04309130000001
74,82,67994,역삼 HOTEL 린 LIN,모텔,motel,55000,70000,노하드/I5-9400/16G/RTX2060/144hz/넷플릭스,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5007029,127.0391452
75,83,69323,강남 YAJA 강남 논현점,모텔,motel,80000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5088581,127.0372657
76,84,76133,강남 호텔 클릭,모텔,motel,70000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5108874,127.04478110000002
77,85,67603,강남 시애틀,모텔,motel,60000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.4958567,127.0299851
78,86,99488,호텔스타프리미어 역삼,호텔,hotel,185000,200000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.50270825801202,127.04033383914391
79,87,84724,청주 투비인,모텔,motel,35000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,36.63430752617118,127.45790317422703
80,88,69756,삼성 디 에이스,모텔,motel,80000,60000,고대기 대여 완비,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5069509,127.05405629999996
81,89,97780,역삼 아르누보 호텔,모텔,motel,0,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.5033786,127.0428441
82,90,85448,단양 들꽃정원펜션,펜션,pension,72000,80000,,서울,강남 / 역삼 / 삼성,300000016,200000151,36.8870775596214,128.299824873257
83,91,85388,여수 파크,모텔,motel,50000,0,,서울,강남 / 역삼 / 삼성,300000016,200000151,34.764710664790144,127.6645575422916
84,92,94196,가평 독채풀빌라레인보우펜션,펜션,pension,250000,250000,,서울,강남 / 역삼 / 삼성,300000016,200000151,37.8789311308169,127.583500875621
85,93,99760,포항 이스턴모스트카라반캠핑,펜션,pension,99000,180000,,서울,강남 / 역삼 / 삼성,300000016,200000151,36.0169429025972,129.580917667004
86,94,99821,태안(안면도) 제이풀빌라키즈,펜션,pension,350000,350000,,서울,강남 / 역삼 / 삼성,300000016,200000151,36.5917576018221,126.330062190776
87,95,87910,태안 신두리해안사구펜션,펜션,pension,90000,90000,,서울,강남 / 역삼 / 삼성,300000016,200000151,36.8435828024657,126.194468745797
88,0,72719,신라스테이 서초,3성급,hotel,206910,206910,,서울,서초 / 교대 / 방배,300000016,200000152,37.489359,127.030137
89,1,75942,오라카이 청계산 호텔,4성급,hotel,149000,149000,,서울,서초 / 교대 / 방배,300000016,200000152,37.448785,127.054886
90,2,70040,호텔 소설,호텔,hotel,143000,143000,,서울,서초 / 교대 / 방배,300000016,200000152,37.486302,127.013789
91,3,93420,JW 메리어트 호텔 서울,5성급,hotel,762300,762300,,서울,서초 / 교대 / 방배,300000016,200000152,37.50555210770678,127.00356622371417
92,4,70076,The-K 호텔 서울,4성급,hotel,119000,119000,,서울,서초 / 교대 / 방배,300000016,200000152,37.466739,127.033183
93,5,83671,힐튼 가든인 서울 강남,4성급,hotel,280500,280500,,서울,서초 / 교대 / 방배,300000016,200000152,37.485933,127.032766
94,6,70065,오클라우드 호텔,호텔,hotel,0,0,,서울,서초 / 교대 / 방배,300000016,200000152,37.503013,127.023759
