,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,82811,울산 중구 브라운도트 울산학산점,모텔,motel,60000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.55735942780486,129.32737885229358
1,1,69668,울산 삼산 판도라호텔,모텔,motel,65000,0,❤️스위트 & 프리미엄 특가 이벤트 중❤️,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5389006,129.3496663
2,2,70268,롯데 시티호텔 울산,3성급,hotel,92070,92070,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.537553,129.329718
3,3,69987,롯데 호텔 울산,5성급,hotel,174240,174240,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.538373,129.338244
4,4,70219,신라스테이 울산,호텔,hotel,99000,99000,"♥ 간절곶 해돋이 2인, 3인, 4인 패키지 출시♥",울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.537487,129.329265
5,5,87097,울산 커스텀호텔,호텔,hotel,95000,320000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540321,129.349577
6,6,76122,호텔 다움,2성급,hotel,65000,65000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.567017,129.34149
7,7,78702,브라운도트 장생포항구점,호텔,hotel,60000,60000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.502733,129.377258
8,8,74122,스타즈 호텔 울산,3성급,hotel,65000,65000,★조식PKG OPEN★,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540164,129.347413
9,9,74313,울산 리버사이드호텔,호텔,hotel,87500,399000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.553308,129.317684
10,10,76029,울산 시티호텔,호텔,hotel,85000,180000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.53828,129.334079
11,11,82072,울산 에쉬튼 호텔,3성급,hotel,80000,160000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.539878,129.311083
12,12,82951,판도라호텔,호텔,hotel,65000,90000,추석 맞이 객실 up 이벤트 진행중,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.538911,129.349652
13,13,76641,브라운도트 울산 삼산점,호텔,hotel,80000,100000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540597,129.350041
14,14,74495,호텔 여우비 울산점,호텔,hotel,70000,70000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.539287,129.349615
15,15,75882,울산 H호텔,1성급,hotel,55000,55000,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540672,129.340274
16,16,87403,울산 삼산 H Avenue 울산삼산점,모텔,motel,75000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54068891383283,129.35101532089556
17,17,86122,울산 삼산 CUSTOM HOTEL(커스텀 호텔),모텔,motel,75000,0,2022.5월 Grand Open ❣️ 전기차 충전가능,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54029828743593,129.34959502951565
18,18,80545,울산 삼산 호텔 그랜드젬,모텔,motel,55000,0,넷플릭스 시청가능/ 고사양2 PC객실보유,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5403143,129.3505774
19,20,93748,울산 무거동 도안 스테이 호텔,모텔,motel,49900,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54937150895646,129.26087946457204
20,21,82274,울산 달동 넘버25 울산번영로점(현대해상사거리 인근),모텔,motel,70000,0,전객실 넷플릭스 시청가능 ! 세스코방역 ! 스타벅스 원두커피 제공 !,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.53730580964124,129.32955228438607
21,23,76079,울산 성남동 효성,모텔,motel,35000,0,포인트 적립 EVENT!,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5537609,129.31568170000003
22,24,88693,울산 무거동 샾,모텔,motel,0,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.549780197250634,129.26039984456926
23,25,84361,울산 삼산 다크호스,모텔,motel,55000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540291303364064,129.34983572712088
24,26,76400,울산 장생포 브라운도트 장생포항구점,모텔,motel,60000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5027632,129.377292
25,27,68418,울산 삼산 호텔 자라,모텔,motel,50000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5393067,129.3490398
26,28,76427,울산 삼산 브라운도트 울산삼산점,모텔,motel,70000,0,# 주차 # 셀프 기계식 주차장 # 야외주차장#,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.540597,129.35004070000002
27,29,73519,울산 신정동 호텔109,모텔,motel,45000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5478702,129.3095969
28,30,67460,울산 삼산 FF,모텔,motel,40000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5409483,129.3411854
29,31,74264,울산 무거동 G&G,모텔,motel,60000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.549367,129.26202039999998
30,32,76530,울산 무거동 타임,모텔,motel,55000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5480703,129.26064959999997
31,33,68370,울산 삼산 호텔 더클래식,모텔,motel,60000,0,"21년 7월 Grand Open, 최고급 시설로 맞이하겠습니다.",울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5404324,129.34112119999998
32,34,88391,울산 삼산 호텔 23°C,모텔,motel,60000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54043315352615,129.34092026979337
33,35,69221,울산 성남동 V,모텔,motel,55000,0,"♥위생관리평가 최우수등급 업체, 탑차 주차 가능, 전객실 넷플릭스 시청 가능, 성남동 최고의 뷰♥",울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5532994,129.31725719999997
34,36,84686,울산 무거동 브라운도트 울산무거점,모텔,motel,75000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.551523350374,129.26022060319016
35,37,70516,울산 무거동 3.6.9,모텔,motel,65000,0,놓치지마세요! 조식서비스 오전 07:00~09:00까지 제공중!,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.549689,129.2621287
36,38,80084,울산 삼산 호텔 낭만스테이,모텔,motel,55000,0,❤결제시 즉시 사용가능한 선착순 쿠폰 제공❤,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5404421,129.3413111
37,39,73509,울산 무거동 위드(with),모텔,motel,50000,0,❣무한대실 이벤트 진행❣,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.55142920016793,129.26045196015355
38,40,69722,울산 삼산 자바,모텔,motel,50000,0,무한대실이라 쓰고 낮숙박이라 부른다,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5373643,129.3298853
39,41,79308,울산 삼산 티아라,모텔,motel,45000,45000,❤선착순쿠폰 최다배포& 넷플릭스 무료시청❤,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5404445,129.3513459
40,42,75934,울산 삼산 소호102,모텔,motel,75000,0,오직 울산 삼산 소호102에서 즐기는 최대 1만원 할인쿠폰!✨,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5409554,129.340835
41,43,66929,울산 중구 팰리스,모텔,motel,50000,0,숙박손님들 위한 무료간식코너,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5561734,129.3313779
42,44,82078,울산 무거동 넘버25 울산무거점,모텔,motel,55000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54968377409219,129.26259588876246
43,45,86085,울산 삼산 넘버25 울산삼산점,모텔,motel,50000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.54084001814386,129.3428167509004
44,46,80977,울산 삼산 호텔 여우비,모텔,motel,70000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5392989,129.3494971
45,47,79217,울산 성남동 샛별,모텔,motel,45000,0,울산 최고사양 최신 PC를 성남동 중심가 숙소에서 즐길 수 있습니다.,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5535232,129.3157407
46,48,72244,울산 삼산 코이(KOI) 호텔,모텔,motel,45000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5408592,129.34244690000003
47,49,81794,울산 삼산 호텔 르이데아,모텔,motel,60000,0,☘️ 매일 선착순 할인 쿠폰 가져가세요 ღゝ◡╹)ノ♡ ☘️,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5403285,129.3471283
48,50,69200,울산 삼산 일쏠레 호텔,모텔,motel,50000,0,✌  즉시 사용가능한 5천원 / 3천원 할인쿠폰 제공 - 할인받고 미리예약하세요  ☺,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5404552,129.34149649999995
49,51,80775,울산 삼산 솜누스,모텔,motel,40000,0,,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5402946,129.35107779999998
50,52,66732,울산 무거동 커플,모텔,motel,45000,0,☺낮숙박 진행중 -  ★최대 12시간 계좌이체 가능 ★야간 대실가능★,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5498273,129.2612857
51,53,72571,울산 삼산 LA LUCE (라루체),모텔,motel,55000,0,❤최고급 침구류 교체~! 끓인라면 컵라면,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5403698,129.3463024
52,54,70493,울산 삼산 도브,모텔,motel,50000,0,♣ 이용하자 프리미엄 객실 ! 안마의자 + 마사지 배드 구비 ♣,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5392978,129.34886010000002
53,55,79977,울산 무거동 시카고,모텔,motel,70000,0,"단체손님 할인, 고급 침구 전면 교체, 한식 조식 제공, 무거동 최대 규모",울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5482825,129.2614757
54,56,69341,울산 성남동 호텔마르,모텔,motel,50000,0,성남동 최초 전객실 ♥ 넷플릭스 ♥  시청가능!!,울산,남구 / 삼산 / 중구 / 성남,300000023,200000253,35.5551982,129.31912450000004
