,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,76855,"강화도 수에뇨펜션(★무료카페, 개별바베큐)",펜션,pension,69000,120000,,인천,강화,300000021,200000234,37.61064199453131,126.39112909300466
1,1,76773,"강화도 힐스토리펜션(반려견 동반,동막해변)",펜션,pension,129000,190000,,인천,강화,300000021,200000234,37.59718306702813,126.44099878128368
2,2,77486,"강화도 더하루펜션(카페,보드게임)",펜션,pension,99000,140000,,인천,강화,300000021,200000234,37.8002062,126.4156808
3,3,71774,"강화도 구름위산책펜션(스파,동막해변)",펜션,pension,69000,110000,,인천,강화,300000021,200000234,37.5960399,126.4556618
4,4,91379,라르고빌 리조트,리조트,resort,170000,170000,,인천,강화,300000021,200000234,37.64084949559468,126.39098370227838
5,5,82188,강화엘리야리조트,리조트,resort,250000,250000,,인천,강화,300000021,200000234,37.636322,126.385574
6,6,86651,바다가 보이는 사이판 호텔,호텔,hotel,40000,40000,,인천,강화,300000021,200000234,37.704598,126.367962
7,7,70038,호텔 에버리치,호텔,hotel,114000,200000,,인천,강화,300000021,200000234,37.73567,126.473677
8,8,88859,강화도 품안애스파독채펜션,펜션,pension,0,0,,인천,강화,300000021,200000234,37.624366361787,126.377675280719
9,9,94067,강화 올펜션,펜션,pension,110000,110000,,인천,강화,300000021,200000234,37.6341753763116,126.369519352909
10,10,98587,강화도 동막스파펜션,펜션,pension,0,0,,인천,강화,300000021,200000234,37.5983373455846,126.434650238951
11,11,88867,강화도 올제스파온수수영장바다펜션,펜션,pension,89000,119000,,인천,강화,300000021,200000234,37.6082536043235,126.386451111322
12,12,89376,강화도 하이맘키즈 풀빌라 가족펜션강화마린,펜션,pension,89000,99000,,인천,강화,300000021,200000234,37.6102763977968,126.385587575208
13,13,97705,강화도(석모도) 항구펜션,펜션,pension,120000,150000,,인천,강화,300000021,200000234,37.6542347856673,126.327533675549
14,14,72432,강화도 아름다운낙조펜션,펜션,pension,90000,90000,,인천,강화,300000021,200000234,37.6222575,126.3818363
15,15,97958,강화도 엘라움 키즈 스파&풀빌라,펜션,pension,160000,200000,,인천,강화,300000021,200000234,37.5948545332252,126.456480248338
16,16,99254,강화도 마레해수풀빌라,펜션,pension,109000,109000,,인천,강화,300000021,200000234,37.6365149996696,126.530242207826
17,17,98168,강화도 코호풀빌라,펜션,pension,430000,430000,,인천,강화,300000021,200000234,37.798637469587,126.441815901175
18,18,70789,강화도 향원펜션,펜션,pension,300000,300000,,인천,강화,300000021,200000234,37.6143148097,126.3808241236
19,19,87313,강화도 낙조테마스파펜션,펜션,pension,90000,90000,,인천,강화,300000021,200000234,37.6223160617804,126.380663522475
