,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,71569,여수 엔펜션,펜션,pension,49000,70000,,전남,여수,300000027,200000284,34.7600258,127.7496499
1,1,73443,여수 지뜨펜션(여수낭만포차 도보1분내),펜션,pension,60000,80000,,전남,여수,300000027,200000284,34.7368349335,127.7500076367
2,2,76471,여수 히든비치리조트펜션,펜션,pension,81700,190000,,전남,여수,300000027,200000284,34.710795597573814,127.76905838363848
3,3,75640,여수 나폴리펜션,펜션,pension,72000,250000,,전남,여수,300000027,200000284,34.7330710550482,127.742579953931
4,4,73473,여수 썬힐스파펜션,펜션,pension,80000,160000,,전남,여수,300000027,200000284,34.7315850336,127.7517901385
5,5,77891,여수 아모르펜션(낚시스팟),펜션,pension,69000,119000,,전남,여수,300000027,200000284,34.642327017967276,127.7215397673396
6,6,73469,여수 달콤펜션 (사계절온수풀),펜션,pension,40500,98000,,전남,여수,300000027,200000284,34.6784264467,127.7767156322
7,7,72031,여수 더뷰리조트(낚시스팟),펜션,pension,0,0,,전남,여수,300000027,200000284,34.6230989,127.6384361
8,8,78008,여수 리틀포레스트펜션(낭만포차인근),펜션,pension,99000,170000,,전남,여수,300000027,200000284,34.7163166,127.7719696
9,9,83364,여수 프랑소아풀빌라 (빔프로젝터노래방객실보유),펜션,pension,89000,129000,,전남,여수,300000027,200000284,34.6507674474799,127.573659043835
10,10,72330,여수 1번가 호텔(1st),모텔,motel,50000,0,❤️1만원 선착순 쿠폰 제공❤️,전남,여수,300000027,200000284,34.7519139,127.70382470000004
11,11,77524,여수 호텔 더클래식(Hotel The Classic),모텔,motel,36000,0,💕스타일러 & 안마의자 객실 이용해보세요💕,전남,여수,300000027,200000284,34.75789219999999,127.6639437
12,12,71084,여수 호텔 JCS,호텔,hotel,165000,165000,❤️축! 개관 4주년 기념 패키지❤️,전남,여수,300000027,200000284,34.704115,127.758169
13,13,87686,여수 꽃날펜션,펜션,pension,89000,130000,,전남,여수,300000027,200000284,34.7063111626344,127.757630878817
14,14,97649,여수 아주펜션(신축),펜션,pension,65000,115000,,전남,여수,300000027,200000284,34.704797806826,127.785097345413
15,15,83881,여수 뷰21펜션 (통대관),펜션,pension,0,0,,전남,여수,300000027,200000284,34.6448272784451,127.616317165652
16,16,73228,여수 리움호스텔,펜션,pension,72000,130000,,전남,여수,300000027,200000284,34.7329818,127.7431387
17,17,98461,"여수 모나코풀빌라(23년신축,2층독채,노래방)",펜션,pension,539000,602000,,전남,여수,300000027,200000284,34.6503359935767,127.573398099128
18,18,73254,여수 바라보다펜션,펜션,pension,69000,135000,,전남,여수,300000027,200000284,34.6144058,127.6251917
19,19,74801,여수 베네치아 호텔 앤리조트,호텔,hotel,92000,92000,★초강력특가 진행 중★,전남,여수,300000027,200000284,34.745758,127.751712
20,20,88180,신라스테이 여수,호텔,hotel,149600,149600,★연박특가 진행중★,전남,여수,300000027,200000284,34.744143,127.748698
