,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,68002,전주 우아동 호텔99,모텔,motel,0,0,"호텔99 포인트 적립 이벤트!(대실 7회, 숙박 7회) / 이용후기 이벤트",전북,전주,300000028,200000297,35.829768,127.17364480000003
1,1,82345,전주 덕진동 브라운도트 전주덕진점,모텔,motel,50000,0,❤️호텔 침구류 / 출장 숙박 이벤트/웨이브 시청가능❤️,전북,전주,300000028,200000297,35.84607527212827,127.12104732012179
2,2,79716,라한호텔 전주,4성급,hotel,170000,170000,,전북,전주,300000028,200000297,35.817242,127.154102
3,3,81706,베스트웨스턴플러스 전주호텔,호텔,hotel,115000,115000,"#한옥마을, 객리단길 인근",전북,전주,300000028,200000297,35.822394,127.147024
4,4,91072,전주 시그니처 호텔&레지던스,호텔,hotel,105000,105000,#Pet Friendly #애견동반,전북,전주,300000028,200000297,35.84867086230568,127.15989548471488
5,5,87858,호텔어라이브 전주 시화연풍,호텔,hotel,94000,94000,#전주한옥마을 인근 #감성숙소,전북,전주,300000028,200000297,35.813931,127.146739
6,6,75821,전주 그랜드힐스턴호텔,3성급,hotel,0,0,,전북,전주,300000028,200000297,35.838273,127.100664
7,7,70123,전주 솔호텔 (SOL),호텔,hotel,0,0,#대나무 숲에 스파를 담다#야외스파#개별난방#시스템 냉난방에어컨#LG스마트 TV,전북,전주,300000028,200000297,35.82945,127.173307
8,8,87985,넘버25호텔 전주산정점,호텔,hotel,50000,50000,,전북,전주,300000028,200000297,35.837753,127.170423
9,9,92547,전주 브라이튼 호텔,호텔,hotel,50000,100000,조식 무료 제공/넷플릭스&유튜브 시청가능,전북,전주,300000028,200000297,35.81329619838598,127.1239844732067
10,10,91154,전주 호텔 라임,호텔,hotel,55000,65000,,전북,전주,300000028,200000297,35.83017146680528,127.17398249257714
11,11,85322,전주 라베호텔(LABE HOTEL),호텔,hotel,50000,69000,#무료조식,전북,전주,300000028,200000297,35.813143,127.123928
12,12,69925,전주 재즈어라운드 호텔,호텔,hotel,69000,390000,#신축오픈 #한식한상 1인 조식 무료 제공 이벤트 #루프탑자쿠지,전북,전주,300000028,200000297,35.831424,127.173324
13,13,70452,전주 한옥호텔 태조궁,호텔,hotel,89000,89000,,전북,전주,300000028,200000297,35.815128,127.143508
14,14,86958,전주 다온호텔,2성급,hotel,99000,157000,#신규오픈 #투숙객 조식 무료제공,전북,전주,300000028,200000297,35.810331,127.155899
15,15,84454,전주 베스트인시티 호텔,호텔,hotel,50000,55000,#전주 버스터미널 도보 10분 #전 객실 넷플릭스 시청가능 #전 객실 65인치 UHD 스마트TV 구비,전북,전주,300000028,200000297,35.835366,127.134226
16,16,91197,MH HOTEL 중화산점,호텔,hotel,60000,65000,,전북,전주,300000028,200000297,35.816126,127.124207
17,17,70320,전주 마리 호텔,호텔,hotel,45000,45000,"#전기차 충전가능, 한옥마을 5분거리, 전주역 3분거리, 당구장/노래방 무료사용, 각종 음료수 FREE",전북,전주,300000028,200000297,35.830625,127.172133
18,18,78749,전주 카마호텔,호텔,hotel,50000,189000,[11/20~11/30 승강기 공사 할인]금연/조식무료제공/Netflix/Youtube/스타일러/공기청정기,전북,전주,300000028,200000297,35.812806,127.123727
19,19,75077,전주 왕의지밀 한옥호텔,호텔,hotel,156250,156250,#전통 한옥 호텔 #전주 한옥,전북,전주,300000028,200000297,35.800247,127.177037
20,20,91196,전주 MH HOTEL 객리단길점,호텔,hotel,0,0,"1인 투숙객 1만원 할인! 객리단길 내 위치! 한옥마을,남부야시장 도보 10분! 짐보관! 미리 주차 가능! 전객실 스타일러 구비!",전북,전주,300000028,200000297,35.817119,127.139605
21,21,78311,전주 비지트호텔(VIZIT),호텔,hotel,50000,100000,월~목 체크인시 대만 샌드위치&두유 제공,전북,전주,300000028,200000297,35.830083,127.172355
22,22,85184,전주 호텔 하루 (HARU),호텔,hotel,43900,100000,#조식 딜리버리서비스(일요일숙박 제외) #전주 최대 주차장,전북,전주,300000028,200000297,35.838382,127.169243
23,23,87836,전주 메이드호텔,호텔,hotel,0,0,스위트 호캉스객실 신규오픈!,전북,전주,300000028,200000297,35.837334,127.16978
24,24,82678,전주 더 메이 호텔,2성급,hotel,168000,168000,,전북,전주,300000028,200000297,35.859847,127.095693
25,25,73249,전주 한옥호텔 궁,호텔,hotel,55000,130000,전주 한옥마을 / 전주 남부시장 등 명소 관광지 5분거리 숙소 ♡,전북,전주,300000028,200000297,35.814427,127.144588
26,26,70279,전주 오페라 21,호텔,hotel,50000,80000,,전북,전주,300000028,200000297,35.831742,127.173714
27,27,84198,전주 칸쿤호텔,호텔,hotel,60000,60000,,전북,전주,300000028,200000297,35.831326,127.17296
28,28,75677,호텔 다빈,호텔,hotel,88000,88000,#한옥마을 인근 가성비 추천숙소,전북,전주,300000028,200000297,35.816727,127.147854
29,29,72675,전주 노이호텔,호텔,hotel,50000,50000,#전주역인근 #깔끔하고 모던한 객실,전북,전주,300000028,200000297,35.830016,127.173
30,30,76341,전주 마리호텔 덕진공원점,호텔,hotel,55000,55000,#버스터미널 2분 #전주한옥마을 10분,전북,전주,300000028,200000297,35.847163,127.119989
31,31,87042,전주 한빛호텔,2성급,hotel,99000,189000,#신축오픈 #조식무료제공,전북,전주,300000028,200000297,35.818564,127.154984
32,32,80141,전주 한옥마을 늘품호텔,호텔,hotel,88000,159000,#투숙객 조식 무료제공 #온돌객실 #스파객실,전북,전주,300000028,200000297,35.817295,127.154999
33,33,70372,전주 에비뉴 호텔,호텔,hotel,40000,90000,,전북,전주,300000028,200000297,35.837511,127.169977
34,34,93661,전주 호텔 아라리,2성급,hotel,80000,180000,☆오픈기념 리뷰 이벤트☆,전북,전주,300000028,200000297,35.8377272527008,127.13069005468469
35,35,99059,전주 호텔 더 빈센트,호텔,hotel,84000,84000,,전북,전주,300000028,200000297,35.81563161796969,127.14748421107701
36,36,75214,전주 엔브릿지호텔,3성급,hotel,179000,199000,전 객실 할리스 10% 할인쿠폰 / 웰컴 디저트(파인애플 샤베트) 출시 / 루프탑 오픈!,전북,전주,300000028,200000297,35.809819,127.152417
37,37,72721,전주 한옥호텔,호텔,hotel,45000,55000,,전북,전주,300000028,200000297,35.830314,127.173912
38,38,76845,전주 바라한호텔,호텔,hotel,80000,180000,,전북,전주,300000028,200000297,35.835868,127.132172
39,39,78328,전주 블루원 호텔,호텔,hotel,44000,44000,,전북,전주,300000028,200000297,35.835509,127.13167
40,40,97829,전주 중화산동 호텔 시그니처,호텔,hotel,70000,90000,,전북,전주,300000028,200000297,35.815945545704665,127.12390557834193
41,41,97743,호텔 투썸스테이 전주 서신점,호텔,hotel,70000,80000,,전북,전주,300000028,200000297,35.83596226935476,127.1200923842656
42,42,76349,전주 마리호텔 터미널점,호텔,hotel,53000,85000,#조식 및 스낵바 운영 #전객실 넷플릭스 시청가능,전북,전주,300000028,200000297,35.836101,127.13324
43,43,82976,전주 나비잠한옥호텔,1성급,hotel,0,0,,전북,전주,300000028,200000297,35.816159,127.148616
44,44,70020,화이트 관광호텔,호텔,hotel,47000,150000,,전북,전주,300000028,200000297,35.837143,127.130984
45,45,75194,전주한옥마을 황실관광호텔,호텔,hotel,70000,240000,,전북,전주,300000028,200000297,35.817973,127.151848
