,index,code,name,grade,type,d_price,price,benefit,region_L,region_S,code_L,code_S,lat,lon
0,0,70466,천안 베니키아 호텔,3성급,hotel,60000,100000,,충남,천안,300000030,200000309,36.812387,127.140254
1,1,73436,소노벨 천안 (EAST동),리조트,resort,177000,177000,,충남,천안,300000030,200000309,36.757186,127.224122
2,2,70395,신라스테이 천안,3성급,hotel,169200,169200,★뚜쥬루 빵돌가마마을 PKG 출시★,충남,천안,300000030,200000309,36.82573,127.143281
3,3,87807,소노벨 천안 (WEST동),리조트,resort,0,0,,충남,천안,300000030,200000309,36.757058,127.223514
4,4,78904,더메인즈호텔(The Mains Hotel),호텔,hotel,0,0,,충남,천안,300000030,200000309,36.782177,127.156433
5,5,84522,라마다 앙코르 바이 윈덤 천안호텔,호텔,hotel,92000,92000,,충남,천안,300000030,200000309,36.798029,127.129429
6,6,70334,천안 오엔시티 호텔,호텔,hotel,96000,96000,,충남,천안,300000030,200000309,36.811132,127.111322
7,7,80159,호텔 캄캄,호텔,hotel,55000,55000,,충남,천안,300000030,200000309,36.818773,127.159593
8,8,79506,탑클라우드 호텔 천안,호텔,hotel,50000,80000,,충남,천안,300000030,200000309,36.808343,127.140681
9,9,83003,천안 명품 DRIVE IN 무인호텔 J,호텔,hotel,75000,75000,,충남,천안,300000030,200000309,36.796792,127.128028
10,10,70252,천안 오엔스마트 호텔,호텔,hotel,75000,75000,,충남,천안,300000030,200000309,36.810297,127.110101
11,11,76559,호텔 슈바이처도르프 천안(구. 천안 티포인트 호텔),호텔,hotel,122000,210000,,충남,천안,300000030,200000309,36.827472,127.142258
12,12,89663,브라운도트호텔 천안터미널점,호텔,hotel,0,0,전객실 70인치 TV + 시몬스 뷰티레스트 침대,충남,천안,300000030,200000309,36.81862071326401,127.16000103115512
13,13,78126,천안 어반스테이,호텔,hotel,55000,85000,,충남,천안,300000030,200000309,36.82697,127.144319
14,14,94430,천안 월호텔(청수점),호텔,hotel,65000,75000,,충남,천안,300000030,200000309,36.782552313700485,127.15491878935215
15,15,82579,천안 호텔 녹스,호텔,hotel,70000,80000,,충남,천안,300000030,200000309,36.828515,127.144433
16,16,76791,천안 뷰 호텔(Hotel),호텔,hotel,50000,50000,,충남,천안,300000030,200000309,36.840222,127.149701
17,17,88570,천안 유디자인 호텔,호텔,hotel,0,0,,충남,천안,300000030,200000309,36.78247782353153,127.15549829044295
18,19,73322,천안 메트로 호텔,2성급,hotel,60000,130000,,충남,천안,300000030,200000309,36.810519,127.147932
19,20,69041,천안 소설스미스,모텔,motel,50000,0,천안 최고의 시설에서 편안한 하루 보내시도록 항상 노력하겠습니다.,충남,천안,300000030,200000309,36.827350683,127.14442121799993
20,21,68015,천안(쌍용동) 카페 호텔,모텔,motel,40000,0,65TV넷플릭스+유투브 디즈니+마블무제한즐기기,충남,천안,300000030,200000309,36.797056,127.1285613
21,22,84375,천안 호텔리움,모텔,motel,60000,0,전객실 82인치 UHD TV 넷플릭스 웨이브온,충남,천안,300000030,200000309,36.832026874488506,127.14040899581288
22,23,87905,천안 아리아,모텔,motel,50000,50000,❤️매일 매일 오픈 특가 이벤트! 쿠폰제공❤️,충남,천안,300000030,200000309,36.826703584848964,127.14446430691312
23,24,84118,천안 YAM 천안신부점,모텔,motel,37000,45000,😍천안 하면 호두과자도 있지만 천안 YAM❤도 있지요😍,충남,천안,300000030,200000309,36.823335774552234,127.16434970572122
24,25,92271,천안 더휴식 아늑호텔 천안역 2호점,모텔,motel,38000,45000,❤️2023년 포토후기이벤트❤️,충남,천안,300000030,200000309,36.81273888617212,127.14002454735363
25,26,98075,영월 부티크풀빌라프레임하우스,펜션,pension,0,0,,충남,천안,300000030,200000309,37.1168517360196,128.605040889787
26,27,88609,천안 빛날빈,모텔,motel,40000,40000,"렌즈통, 식염수 무료 제공! 개별난방으로 방별 조절! 고데기 대여가능!!",충남,천안,300000030,200000309,36.7972526860394,127.12840371851219
27,28,91001,청주 더휴식 아늑호텔 우암2호점,모텔,motel,40000,0,⚡평일 대실 이벤트 Photo 후기⚡                                                              ⚡비즈니스를 위한 세탁실 운영중⚡,충남,천안,300000030,200000309,36.64658797630736,127.48670206491056
28,29,86241,천안(청당) 월,모텔,motel,60000,0,,충남,천안,300000030,200000309,36.782552313700485,127.15491878935215
29,30,89357,천안 감성무인호텔 온화 어반트디자인,모텔,motel,49500,49500,,충남,천안,300000030,200000309,36.8124389,127.1399497
30,31,88379,천안 더휴식 아늑호텔 천안역1호점,모텔,motel,38000,0,"⚡65인치 Smart TV, 각종 컨텐츠룸,무인 키오스크, 전객실 넷플릭스 시청가능⚡",충남,천안,300000030,200000309,36.8093893804911,127.14000460474006
31,32,73424,천안 라트리 호텔,모텔,motel,60000,60000,★바깥 풍경보며 여유로운 차 한잔의 공간 마련★,충남,천안,300000030,200000309,36.8263918,127.143777
32,33,79311,천안 호텔캄캄,모텔,motel,55000,0,"건축가가 디자인, 운영하는 호텔",충남,천안,300000030,200000309,36.8187257,127.1595788
33,34,83029,천안 머무르다,모텔,motel,45000,45000,,충남,천안,300000030,200000309,36.79789390694473,127.12860225199618
34,35,84487,천안 호텔 H2,모텔,motel,50000,50000,,충남,천안,300000030,200000309,36.831798697052655,127.14054796422327
