reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.07.23,68173,das**,"화장실에서 하수구 냄새가 너무 심했어요…
그것만 아니면 .. 직원분들 모두 너무 친절하시고
청소도 잘되어있고.. 근데 화장실에서 하수구냄새가 너무 올라와서 .. 그것만 개선되면 좋겠어요.",4.0,0
2023.01.20,68173,tht**,"서울 일정을 보고 새벽4시에나 도착했는데 직원분이 앉아계셨고 나름 주위 보다 고급진분위기였어요.
안의 화장실이 맘에 들었고 간단하게 있을거있고 
꿀잠을 잘 만큼 침대가 좋았나봐요^^",5.0,0
2022.12.25,68173,cho**,"침구도 깔끔하고 욕조도 좋고 샤워기도 2대 있어서 좋았습니다. 1층 로비도 깔끔해서 잠시 쉬는 공간도 있고 부담 없이 쉬는 진짜 로비 느낌이어서 좋네요.
여자친구랑 부담없이 쉬어가고 호텔같은 느낌이라 너무 좋았습니다 :) 침구도 너무 폭신하고 방에 문도 두꺼워서 방음도 좋은거 같아요 :) 잘 쉬다갑니다 !",5.0,0
2022.01.27,68173,sup**,"강남에 업무차 방문했는데 헐. 입구부터 프론트 내부까지 너무도 엔틱하고 깨끗하고 직원분들 모두가 친절하시고 감탄이 절로 나옵니다.
객실내부는 특히 바닥이 어둡고 칙칙한 장판이 아니고 화이트 베이지색의 대리석계열인데 먼지하나 보이지 않고 청결 그 자체입니다.
특급호텔 못지않게 칭찬하고픈 호텔급입니다.
조용하고 방음도 완벽하구요. 
강남 역삼권에서는 단연코 1등수준의 호텔입니다.
늘 건승하시길 바래요^^ 
감사합니다",5.0,1
2018.12.02,68173,Lch**,"전 항상 리치웰만 이용합니다.
다만 아쉬운점은 데일리호텔 통해 이용하는데
스트커 적립이 안되네요 어느날은되고
깔끔하구 다좋은데 스티커 적립이 안되는점 
새벽늦게 잡아도 12시체크아웃인데 11시30분부터 콜오는것이 좀 아쉽네요..조금 배려가있다면 넘좋을거 같아요",5.0,3
2018.08.04,68173,art**,휴가 막바지라 특별한 휴가를 찾다 나 홀로 호캉스를 계획했어요. 방 안에 있는 욕조를 찾다보니 오게되었는데 창가에 위치한 큰 욕조가 가장 맘에 들었어요. 일단 대리석으로 만든 방 전체의 느낌이 굉장하 고풍스러웠고 넓은 방이 휴가를 편히 즐기기 좋았습니다. 다만 욕조가 크다보니 물을 받는데에 시간이 좀 오래걸리더라구요 ㅎㅎ만족하고 돌아왔습니다!,4.5,0
2017.10.16,68173,dms**,"접근성 좋고 차를 넣다 뺐다 3번을 반복해도 친절히 도와주셨는데 정말 감사합니다~~~~
잘 묵다 가요!
특히 침구가....... 잠에서 헤어나올수없는.... 그런 마성의 침구 ㅋㅋㅋ",5.0,0
2017.09.20,68173,gum**,"도착하자마자 발렛 바로 튀어나오셔서 깜놀
그리고 프런트 스텝의 친절  게다가 특급호텔같은
와인 칠링서비스와 와인잔제공  깨끗한 침구
편안하구 럭셔리한 방 인테리어 
안정된수압  정말 나무랄데없는 투숙이었습니다 
다시한번감사드립니다 ",5.0,0
2017.07.20,68173,voc**,"침구는 편안하고 전체적으로도 깨끗했어요 ㅎ
다만 전 객실 금연이라 주변보다 비싸도 선택했는데...
민감한 제겐 담배냄새가 나더라구요ㅜㅜ
누가 화장실에서 피신건진 몰라두..
하지만 주차가 타워인 점, 주차대기 서비스가 가능한 점 등이 정말 좋았답니다 ㅎㅎ",4.5,0
2022.09.02,68173,shu**,시설은 괜찮았는데 방배정받고 들어가자마자 수건위에 1회용품 비닐이 뜯어진채 있어서 기겁함. 이걸로 방바꿔달라고 하기엔 좀 그래서 걍 그방 썼음. 방안에 욕조가 있으나 마개가 없어서 사용할 수 없음(미리 얘기해주심) 충전기 케이블이 있어서 꽂아봤으나 충전안됨. 냉장고에 생수가 2개밖에 없어서 아쉽. 나머지는 쏘쏘. 카운터 직원분은 친절하신듯,4.3,0
