reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.20,74459,ims**,새로 생긴 곳이라 너무 쾌적했고 침구도 깨끗하게 사용했어요 화장실도 엄청 넓고 욕조에서 입욕제 넣고 힐링했네요 연휴에 가족끼리 놀러오기 너무 좋았어요 ! 가격이 조금 비쌌지만 비성수기일때 오면 좋을 것 같아요,4.5,1
2023.10.19,74459,nic**,"온천, 수영장,헬스장 그외 이것 저것 부대시설 많고 뷰 좋고 정말 힐링 하기 딱인 호텔이에요!!

주변에 아무것도 없어서 먹는게 좀 아쉽지만 
편의점이랑 뷔페 룸서비스 이용 할 수 있어서 나름 요기는 할 수 있어요

기본적으로 룸자체가 넓어서 편하게 보낼 수 있었어용
방안에서 해뜨는거도 볼 수 있어서 너무 좋았습니당

위치가 매우 안쪽에 동떨어져있지만 정동진역 앞에 셔틀버스도 있어서 뚜벅이어도 가는데 부담 없었어요~~

관광 목적아니고 그냥 바다뷰 보면서 쉬려고 하는 분들한테는 정말 추천해용!!!",4.5,3
2023.10.13,74459,god**,"전체적인 컨디션이 너무 좋아서 여행 마무리를 잘 했어요.
오션뷰 반반이지만 바다도 잘 보이고 룸이 꽤 넓었어요.

저녁에 스카이라운지에서 간단하게 커피나 한잔하며 이야기 나누기도 좋았고,
아침에 온천 이용하니 개운하고 좋았어요.

디럭스룸은 욕조가 없고 칫솔은 제공되지 않습니다.",4.5,0
2023.11.06,74459,kkk**,"침구 깨끗합니다! 다만 화장실 바닥이 좀 ~대체적으로 추천합니다! 아침 조식은 가격대비 살짝 아쉽지만 먹을만 합니다! 뷰는 정동진 호텔중에 최고 인듯합니다!
전체적으로 깔끔하며 추천 드립니다!",4.0,0
2023.10.04,74459,sha**,"다양한 부대시설, 깨끗한 시설, 직원들의 친절함 좋았습니다.

 다만 엘리베이터 4개가 부족하더라구요. 특히 체크아웃 시간때는 많이 혼잡하였는데 엘리베이터 추가도 고려해보면 좋겠습니다",4.5,0
2023.10.01,74459,soo**,"호텔 부지에 산책로가 너무 잘 되어있어서 조용하게 바다 보면서 산책도 할 수 있고 너무 좋았고 아침에 일출 보기에 편해서 좋습니다!
조식 뷔페도 종류가 많고 맛있었습니다.
전체적으로 깔끔하고 관리가 잘 되어있는 느낌이라서 만족 했는데 엘리베이터가 성인 몇명 안탔는데 정원초과라서 사람 많으면 대기가 좀 오래 걸려요.",4.8,0
2023.09.16,74459,qbd**,"가격대비
가족여행으로 참 좋았어요.
차로 가기에 위치가 나쁘진 않았지만 저녁식사하기엔 주위에 식당이 많지 않아 호텔 포세이돈 디너를 이용했습니다. 가격대비 음식 괜찮았고 다만 7시 30분경에 갔더니 사람이 없어서 그런지 8시 10분정도엔 저희만 있고 8시 30분경에
쉐프들도 홀에 보이시고 빠싱하시는 직원들도 분주하시고 정리하는 분위기라 후다닥 나왔어요.
운영시간 저녁 9시30분까지로 봤는데ㅠㅠ
아이먹이느라 전 제대로 못먹어서 그부분이 많이
아쉬웠어요ㅠㅠ",4.5,1
2023.09.08,74459,sui**,쾌적하고 넓어서 좋았어요~ 돌아기랑 함께하는 여행이라 아쿠아+사우나 한번에 이용도 못하는데 가격이 포함되있는건 아쉬워요ㅠㅠ 나가는 순간 재입장 불가라 남편이랑 교대로 이용할수도없었어요,4.5,0
2023.08.08,74459,iri**,아기랑 가기 너무 좋은 호텔이에요. 아기침대랑 욕조를 요청했고 젖병소독기는 로비에서 공용을 썼습니다. 수영장과 온천도 만족스러웠고 유아풀이 물높이나 온도가 다양해서 좋았습니다. 조식이나 15층 레스토랑 음식도 맛있었고 가든에서 보는 전망이 좋아서 2박3일 호텔에만 있어도 힐링이었어요.,5.0,2
2023.10.30,74459,rla**,방 상태도 너무 깔끔해서 지금 4번째 방문이에요!! 뷰도 너무 이쁘고 안에 시설도 많아서 다양하게 즐기기 좋았어요!! 특히 스타이라운지 진짜 최고였어요👍🏻👍🏻,4.3,0
