reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.16,85523,eas**,"전반적으로 깨끗하고 숙소컨디션도 좋았습니다
다만 일회용품 구매했는데 비누가 없었고, 화장실 변기에서 찌린내가 좀 났어요",3.5,1
2023.04.22,85523,bhj**,"수원역에서 택시 타고 8000원 정도 나왔어요 욕조가 커서 아침에 물에 담그려고 예약했어요 가성비는 아주 좋은 것 같아요 하지만 습하고 침구류가 약간 꿋꿋한 느낌이 들긴 했어요 날씨 때문인지 조금 습한 느낌이 들었어요 그래도이 정도 가격에 이정도 컨디션이면 하룻밤 묵기에 완전 좋은 것 같아요 카카오택시 금방 잡혀서 이동하기가 편했어요.
 방음이 잘되는 건 아주 조용히 쉴 수 있었습니다 감사합니다",4.5,0
2023.02.05,85523,wat**,"가족여행으로 수원에 앤드로 숙박을 해봤어요
욕조가 있다고해서 1순위로 선택하게 되었는데
깔끔한 내부와 실내 건식사우나까지 아이들과 저는 매우만족했어요
스타일러로 코트도 밤새 세탁했네요.",5.0,0
2023.02.03,85523,kc0**,"욕조랑 컴퓨터 있는거 보고 예약했던 방이었는데 
아침에 한 번 더 들어가 있고 싶었을 정도로 욕조가 너어무 좋았어요 ! 들어가자마자 인테리어도 너무 깔끔하고 예뻐서 와 … 진짜 이런 집에서 살고 싶다 ~ 했어요 시설 좋은 곳에서 잘 놀다 왔습니다 .. 처ㅔ고 👍🏻",5.0,0
2022.05.16,85523,blu**,"밝은 조명, 넓은공간, 비흡연룸이란게. 가장맘에들었어요
직원인지. 사장님인지는. 모르겠지만 과하지않은. 친절함도. 좋았습니다 하룻밤였지만 담에. 기회가된다면 다시 찾아갈게요",5.0,0
2023.09.24,85523,nam**,"나쁘지 않았어요
전체적으로 괜찮았습니다",4.0,0
2023.05.17,85523,sum**,침구류도 깨끗하고 전체적으로 청결했어요! 시끄러운 소리 하나두 안들렸구요! :),4.0,0
2022.04.20,85523,123**,저희는 자주이용하는곳이에요 진짜다른곳에비해 훨씬청결하고친절합니다. 앞으로도자주이용할께요 감사합니다,4.0,0
2023.08.01,85523,cne**,깨끗한 침구 친절하시고 좋았어요,5.0,0
2023.01.04,85523,blu**,매번 변함없이 깨끗하고. 비흡연이라. 더. 맘에드는곳입니다,5.0,0
2022.10.08,85523,kan**,깨끗하고 넓어서 좋았고 편안하게 잘 보냈어요! 또 방문하고 싶어요,4.5,0
2022.08.02,85523,tnr**,"깨끛도하고
냄세에 많이 얘민한뒈 그런것도 없고 좋았어용",5.0,1
2022.06.07,85523,mek**,전체적으로 시설이 오래되어 보이지 않고 특히 욕실이 좋았습니다.,4.5,1
2022.10.21,85523,sm0**,시설이 깔끔하고 퇴실시간 30분정도 전에 연락주셔서 좋았어요!,4.0,0
2023.02.05,85523,jih**,시설이 너무 좋아요 가격대비,5.0,0
2023.01.24,85523,sut**,여기가 구운동시설원탑,5.0,0
2023.01.24,85523,sut**,여기가 구운동시설 원탑,5.0,0
2022.10.23,85523,eur**,침구가 깨끗하고 시설이 깨끗합니다,5.0,0
2022.09.10,85523,hss**,방이 깨끗하고 사장님이 친절하셔서 좋습니다,5.0,0
2022.04.05,85523,tnr**,욕조가 때도없고 모든게 좋았습니다,5.0,0
2023.04.06,85523,7el**,시설이 깨끗하고 따뜻해서 춥지 않았어요,3.8,0
2023.10.15,67331,rm5**,시설조아요 잘쉬다가요,5.0,0
2023.10.31,67331,hoy**,넓은 방에 친절하신 직원분,4.0,0
2023.08.10,67331,sh1**,방이 깨끗합니다.강추합니다.,5.0,0
2023.05.30,67331,sut**,혼자서 쉬기에너무편햇어요,5.0,0
2023.09.09,68584,kh8**,𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛 𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛𐨛,5.0,0
2023.09.07,68584,kh8**,"잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다
잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다
잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다
잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다
잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다
잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다잘쉬다갑니다 잘쉬다갑니다 잘쉬다갑니다",5.0,0
2021.05.29,68584,rla**,근처에 일이있어 숙박을 하게 되었는데 서비스랑 친절함은 좋았지만 청소를 하신건지 의문이였습니다.배달음식을 시켜먹은지라 테이블을 닦게 되었는데...ㅠㅠ청소에 더욱 신경써주시면 가격대비 좋았을것 같네요.담배냄새가 너무나서 머리가 아팠습니다. 가격은 정말 저렴했습니다.,3.5,0
2023.10.24,68584,e20**,가성비가 있어서 하루밤 묵고 가는데는 좋습니다.,3.8,0
2023.09.23,68584,kh8**,언저나 잘 애욧중 좋습니다,5.0,0
2023.09.23,68584,kh8**,늘 잘 이용중이고 좋습니다,5.0,0
2023.09.21,68584,kh8**,늘 잘 쉬다 가는 숙소입니다,5.0,0
2023.09.18,68584,kh8**,갈때마다 잘 쉬고있어요,5.0,0
2023.09.13,68584,kh8**,좋습니다 늘 잘 이용하고 있어요,5.0,0
2023.07.27,68584,tpt**,남자 사장님은 친절하십니다만 욕실에는 사용한 바디 스펀지가 털들과 함께 같이 있었습니다 클리닝 서비스 점검하셔야할듯,3.3,0
2021.01.31,68584,mat**,"1.물온도 조절 전혀안됨 최악 화상입을듯
2.샤워헤드 고장나서 물여기저기다튐
3.모니터도 안켜짐
4.곰팡이심함
5.변기물 버튼 안됨

장점 
티비큼",2.8,1
2023.10.15,68584,lkk**,시내 접근이 좋습니다..,2.0,0
2023.06.08,68584,okk**,좋아요~~~ 좋아요~~~ 좋습니다~~ 잘이용했어요,5.0,0
2023.06.08,68584,okk**,좋아요~~~ 좋아요~~~ 좋습니다~~ 잘이용했어요,5.0,0
2023.05.27,68584,bee**,가격대비성늘 월클 입니다,5.0,0
2023.04.29,68584,bee**,뜨거운물 장난아닙니다 최고에요 멈이 막지져짐 터키탕 오분안에 완성,5.0,0
2021.04.09,68584,oai**,"넷플릭스방 골랐는데 넷플릭스가 안됐어요(209번방)
다시 물어도 안고쳐질거 같아서 그냥 썼습니다
사진이 더 깔끔해보이네요",2.5,0
2023.08.19,68584,leo**,"최악의 숙소

청결 소음 모든게 최악",1.0,0
2022.03.19,68584,red**,티비가 커서좋아요..,4.5,1
2022.03.11,68584,red**,침구가깨끗해서 잘잤어요,5.0,0
2021.09.27,68584,s71**,좋아요 잘쉬었습니다.,5.0,0
2021.02.26,68584,pei**,마ㄴ족해용 좋았습니다,4.0,0
2020.08.23,68584,rbg**,너무 친절하셨슴키다.,3.8,0
2023.10.09,70014,tye**,"50분 일찍들어가는데 추가 만원달라고하고, 있던 비데도 없에고, 화장실문은 뭐에 걸렸는지 안열리고, 객실바닥도 끈적한 부분이있어서 수건빨아서 직접 닦았습니다. 여튼 예전 같지않게 가성비도 전혀없고 시설은 보수없이 계속 우려먹고, 고객보다는 돈만 챙긴다는 생각이 들어서 이젠 그만가려구요. 한 5년간 많이 갔없는데.. 영원히 좋은 호텔은 없는게 맞는것 같습니다.",3.3,2
2023.08.28,70014,pus**,"수원화성을 관광하기위해 투숙했습니다
직원분들도 친절하시고 
무엇보다 가성비가 좋습니다
객실, 욕실 청소상태가 잘되어있습니다
전반적으로 만족했습니다",4.0,0
2023.04.10,70014,suk**,"아니 원래 먼지 구석에 몰려있고, 침대에도 먼지 엄청많고 먼지구덩이였거든요.... 그래서 간이 미니 청소기 들고다니면서 진심 들어가자마자 맨날 청소했어요 .. ㅋㅋㅋ 방이 많아도 체크인 하는 방만이라도 청소기 한번을 제대로 못 돌리나? 했었는데 ...
이번에 벨류에서 해든?으로 이름 바뀌고 처음 갔는데 또 들어가자마자 먼지있나 구석부터 보는데 
먼지 없었어요.!!!!!  밥먹느라 쇼파 좀 옮기면 저번에 밑에 먼지 가득해서 진짜 짜증났는데  그리고 식탁밑에도 먹다남은 부스러기같은거 있을때도 있고 휴
이번에 없었어요!!! 깨끗해서 놀랐어요 ㅋㅋㅋ 진짠 호텔가면 깨끗한게 정상인데 여긴 안 그랬었어서;;; 이번에 놀랬어요 청소 잘 되어있어서요 : ) 
사장님이 바뀐건가요 청소업체가 바뀐건가요 ?
암튼 앞으로도 쭉 깨끗하면 좋겠어요 ... !",4.8,4
2022.08.15,70014,top**,세월감이 느껴지는 가구며 시설이지만 베드라든지 전체적인 룸컨디션은 아주 좋았습니다.. 편의점과 할리스도 건물내 입점되어 있어 편하구요..분위기와 낭만을 즐기는 호텔이기보다는 실속과 비지니스나 수원의 짧은 여행의 숙소로는 가성비도 좋고 아주 굿~추천합니다.,5.0,0
2022.08.15,70014,pun**,"옛스럽긴한데 그래서인지 요즘 동급호텔보다 넓고 깨끗해요. 요즘 지은 호텔중엔 짐놓을 곳도 마땅치 않은 곳도 있는데요.  화장실도 여유롭고 지하주차장도 넉넉하고요.  복도에 정수기도 있어요. 호실에 얼음통이 있던데  얼음정수기였는지는 기억이 안나요.
수원시청역 바로 앞이라 주변에 먹을 곳, 홈플, 뉴코아도 있고요. 버스정류장도 가까워요.
행궁하고 거리가 좀 떨어져있지만 이 부근 호텔의 공통된 사항이죠.
단점은 뭔가 소음이 있어요. 화장실 환풍기 소음, 에어컨 소리가 웅웅 거릴 때가 있고, 옆호실 창문 여닫는 소리가 너무 크게 들려서 깜짝 놀랐어요. 그렇다고 옆호실 소리가 들리지는 않아요. 
근처에 호텔에 있다가 급하게 하루 더 있게 되서 이곳으로 옮겼는데 만약 다시 수원에서 묵게된다면 이곳을 다시 선택할 것 같습니다.",5.0,2
2022.06.11,70014,jhj**,"쏘니보러 수원간 여행인데
인계동바로 옆이라 좋고
월드컵 경기장도 걸어서 갈정도이긴해요 
힘은 들지만 ㅋㅋ
주차장 넓고 주변에 맛집도 많아요
글구 엘베도 나름 빠르고 지옥은 아녔어요
다 깨끗하고 조용하고 시설 굿
재방문 의사 많음",5.0,0
2022.06.06,70014,ck0**,"역시 꿀잠오는 호텔침구~라,
아침조식시간 맞춰서 일어나기 힘들정도로
단잠잘정도^^
조식뷔페도 메뉴는 많지않아도 맛있었구요
룸도 사이즈가 큰편이라 아이들동반에도
큰불편함없으며,
헬스장도 24시간오픈이라 투숙객에게 큰혜택이었고,수건도 준비되있고,
안마기도 천원이면 10분 이용^~^
패밀리 세트개념으로 1박 + 조식3인까지
가성비 굿인 호텔로 재방문의사있습니다^^",5.0,0
2022.06.05,70014,dyd**,위치가 수원시청이고. 근처 공원과 맛집들이 많아서ㅠ베스트였어요. 나혜석 카페거리도 너무나 좋았구요. 버스 지하철 모두 이용 용이합니다. 다소 오래되었지만 비지니스호텔이고 무엇보다 조식이 좋았어요. 그리고 연식은 되었지만 넓은 방은 너무나 쾌적하였습니다.  서울 중심가 4성급이면 그래도 코딱지 방인데. 너무나 넚고 좋았어요. 어린이 동반 가족여행이고 애터미도 있고. 여러모로 추천합니다~,4.8,0
2022.04.10,70014,gos**,접근성 시설 등등 다른 건 다 괜찮았는데 호텔에서 이상한 소음이 계ㅡ속 났습니다. 공사장에서 나는 소리인지 호텔내부에서 나는 소리인지는 모르겠는데 삐ㅡ 이런 게 줄곧 나니까 짜증이 솟구쳐서 나왔습니다 호텔 대체로 그냥 만족하는 편인데 이번에는 리뷰를 남겨야할 것 같네요,4.8,0
2022.03.24,70014,kos**,수원 번화가인 인계동  중심에 위치하고 있어 접근성이 특히 좋았습니다. 침구는 깨끗하고 매트리스도 좋아서 편안하게 잠이 잘 들었습니다. 직원분들도 친절하고 주차공간도 양호해서 차량 이동 시 용이했습니다.,5.0,0
2021.11.07,70014,hyd**,"침구류 깨끗하고 전반적으로 좋았어요. 

수원화성 여행하기엔 거리가 좀 있지만 수원화성 주변에는 호텔이 없다보니 방도 넓고 방음도 잘되고 전반적으로 좋았어요^^

주변에 공원이 많아 산책하기 정말 좋았습니다.",5.0,1
2021.09.21,70014,cho**,밸류호텔은 침대가 너무 편하고 침구도 포근해서 잠이 너무 잘 와요~ 방도 넓은 편이에요. 복도 창가에서 찍은 야경도 참 멋지네요! 고층이라 탁 트이고 전망이 좋아요. 냉장고가 별로 시원하지않고 너무 작은 점은 좀 아쉽네요. 편안하게 잘 머물다 갑니다.,5.0,1
2021.08.29,70014,she**,"인계동에서 묵게되면 항상 방문하는 곳 ㅋㅋㅋㅋ
접근성 최고고 1층에 편의점 붙어있고 카페도 있고
헬스장도 있어서 자주이용하고있어요 ㅋㅋㅋㅋ

근처 호텔 이ㅂ스, 홀ㄹ데이 등 묵어봐도 가성비갑 ㅎ",5.0,0
2021.08.07,70014,lmg**,"수원에 일 보러 갈때면 들르는 곳입니다. 
간만에 찾았는데 역시 편안합니다. 룸컨디션도 클린~수원 번화가에 위치하여 근처에 밥 먹을곳도 많구요~전날 강원도 갔다가 밸류가서 푹 자고 나왔네요. 헬스장도 아담하니 좋아요. 
추천합니다:)",5.0,2
2021.06.10,70014,kjk**,"창문을 열어놓고 자다가 모기때문에 깨었는데 모기약 구하러 편의점가니 없었는데 호텔 카운트 친절한 직원이 약도주고 친절 짱이였고 감동 ㅡㅡㅡ

문열고 방충막을 내리지않은 나의잘못인데 ㅡㅡㅡ",5.0,3
2020.12.06,70014,huz**,"위치 청결 서비스 모두 좋아요 이정도 가격에 이만한 곳은 없을듯.. 방이 춥다고 했더니 바로 바꿔주시는 친절함..ㅠ bb
넘 좋았고 덕분에 편히 쉬다가요~~!! 
방음이 살짝 아쉬운데 크게 거슬릴정돈 아니에요 ㅎㅎㅎ 
다음에도 재방문의사 있습니다!",5.0,0
2020.11.04,70014,won**,늦은 시간에 체크인 했는데 미리 도착 여부 묻는 전화도 주시고 열두시 넘은 시간이라 죄송했는데 웃는 얼굴로 프론트 직원분께서 친절하게 안내 해주셔서 너무 김사했습니다. 객실도 따뜻하고 깔끔해서 연박했어용.,4.8,0
2020.11.01,70014,fsn**,"3번째 방문하고 후기 올립니다. 일반 객실인데도 불구하고 너무 편하게 잘 지냈어요. 욕실이 있는 객실과 없는 객실이 있는데, 체크인 받기 전에 문의하면 욕실이 있는 방이 남아있는 경우 그 방으로 안내해주셔서 넘 좋았어요! 엘레베이터도 객실 카드가 없으면 올라올 수 없기 때문에 외부인 출입방지에도 좋고, 높은 객실은 야경이 생각보다 예뻐서 더 놀랐네요. 아쉬운 건 빗이 배치가 안 되어있다는 거? 말고는 만족합니당",4.5,1
2020.10.18,70014,cha**,갑자기 묵어야했기에 리뷰들을 꼼꼼히 읽고 가격도 보고  예약했어서 반신반의 했어요~  하지만 리뷰에 적혀있는것처럼 너무깨끗하고 넓어서 잠깐 하루 묵었지만 너무편안히 지내다 갔어요~ 완전 추천해드립니다~ 다시 재방문하고 싶어요~,4.5,0
2020.08.16,70014,pcm**,"침실 욕실  깨끗해서 좋았구요..
 
베개 침대가 너무 편안했어요..자다가 한번을 안깼네요..

호텔방에서 뒹굴뒹굴 잘 쉬다가 갑니다.

인계동 먹자골목도 가까워서 밤에 나가서 술한잔 하기도

편해요~",4.8,0
2020.06.16,70014,kjy**,"깨끗하고 넓고 여러모로 좋았다는 기억이 더 남는 곳이었어요 ㅎㅎ
바닥이 온돌(?)같은 바닥이라서 더 좋았던 것 같아요ㅎㅎ
주변에 편의시설로 편의점이랑 식당가가 많아서 아침식사하기도 좋고 재방문의사 충분히 있는 곳 이었어요 ㅎㅎ",4.8,0
2020.06.14,70014,sun**,"전체적으로 깔끔하고 넓고 퀄리티가 좋았습니다. 층 가운데에 전자레인지와 정수기가 있는 것도  편리했어요. 다만, 방음이 정말 안되는 곳이었습니다. 전자레인지 끝날때마다 나는 소리가 계속 들렸고 밤새 위층에서 내는 소리외 진동이 전해져서 밤새 잠을 설쳤습니다.",5.0,0
2020.05.24,70014,ssa**,"  후기가 좋아서 고민없이 선택한 곳인데 위치도 좋고, 방크기도 커서 좋았습니다. 마루바닥이라 더 마음에 들었고 최신시설은 아니지만 관리가 잘 되어있는 느낌이었어요! 레이트 체크아웃 패키지로 이용해서 주말동안 푹 잘쉬고 왔습니다. 주차공간도 넓어서 다음에 또 재방문하고 싶습니다",5.0,1
2020.02.23,70014,ysy**,"전체적으로 깨끗했어요.
테이블 같은 건 오래 된 느낌이 나요.
위쪽인지 옆쪽인지 쿵쿵 소리가 나서 방음이 조금 약한 듯 했구요.
욕실화가 없었어요. 가격대비 만족스러워서 다음에도 이용할 것 같아요.",4.8,0
2020.02.03,70014,fsn**,방도 넓고 깨끗해서 정말 좋았던 호텔이었어요! 필요물품도 모두 다 갖춰져있고 안에서 보는 야경도 너무너무 이뻐서 머릿속에 계속 남을 만한 곳이에요! 어떤 여행이던 숙박이던 여기서 머무는거 진짜 강추합니다.,4.5,0
2019.12.27,70014,imb**,"조식이 정말 맛나요 메뉴도 다양하고 직원들도 친절합니다.
커플여행으로 간건데 여친이 조식을 꼭 챙겨 먹는 성격이라 매우 만족하고 잘 예약 했다고 하더군요.
객실이 조금 쌀쌀한 느낌?은 있다고 하더군요 저는 추위를 안 타서 이불을 안 덥고 잤는데 추위 잘 타는 여친피셜..
아무튼 시티뷰라서 전망도 괜찮고 좋았습니다.",4.8,0
2019.12.08,70014,agn**,"침구도 깨끗하고 어메니티도 좋았어요ㅎㅎ
전체적으로 조금 어둡지만
그래도 깔끔하고 심플해서 만족해요
근처에 식당이나 술집도 많아서 좋구요
모텔촌(?)이랑 거리도 있어서 안전한 기분입니당",4.8,0
2019.12.08,70014,hn2**,"룸컨디션도 좋고 직원들은 체크인, 체크아웃 할때만 응대해서 친절한지 잘 모르겠어요.  방 크기도 크고 조식은 자느라 안 먹어서 모르겠네요. 전반적으로 만족합니다. 아침에 메이드분들 청소하는 소리는 역시나 방음이 안되더라구요. 그래도 다음에 또 올게요  ",4.5,0
2019.11.03,70014,syc**,"침구가 깨끗해서 좋았고, 전반적으로 좋았어요!
다만 냉장고가 진짜 작아요...거의 물 500ml 2개 들어갈정도..? 그리고 전자레인지가 없습니당! 간단조리도 불가능! 근데 역근처에 식당근처라서 그건걱정안하셔도 돼요! 1층에 할리스커피랑 미니스탑 편의점있어요!",4.8,0
2023.09.03,70014,suk**,"청소 옛날엔 진심 별로였는데 요샌 그나마 나아요
근데 침대 먼지가 너무 많아요
자고일어나면 항상 코막힘 ㅠㅠㅠㅠ",4.3,0
2022.08.15,70014,lee**,"선택한 기준이 수원의 메인거리 여서 예약을 하였고
시청가까운곳 상업지고 주변에 메인상권과  가까운 산책공원도 있어서 편리했고 조식도 나름 갸성비 좋았고,
5인 성인가족이라 2개호실을 잡아서  갔는데 
3인실을 
원하는 20층 주셔서 기분좋았어요.
2인 두베드방이 비데고장이어서 바꾸어준다했는데
남편이 괜찬다해서 그냥사용함, 시내권 구경과 
근거리 먹자, 공원 산책등 만족스러움",4.3,0
2022.04.10,70014,hj4**,"룸이 굉장히 넓어서 좋았어요. 고층이라 뷰도 좋았고 깨끗했습니다. 나혜석 거리도 가까워서 먹으러 가기도 편했습니다. 다만 방음은 잘 안되는 듯합니다. 아침에 복도에서 나는 소리가 잘 들리더라도요. 
그래도 편하게 잘 쉬고 왔어요.",4.0,0
2022.01.01,70014,tea**,리뷰를 보고 예약하고 다녀왔는데 정말 침대가 너무 편해서 꿀잠잤어요!! 앉으면 바로 앞이 거울이라서 편했고 연식이 되었다고 했는데 그런거 신경쓰이지 않을 정도로 만족스러웠습니다! 새해에 만족스러운 호텔을 가서 완벽했어요:),4.0,0
