reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.01,84154,pea**,"숙소 전체적인 느낌은 매우좋았습니다.
불국사 근처라서 간단히 아침 먹고 체크아웃 후 바로 3분 정도 차로가면 바로 불국사 입구 나와서 위치면에서는 최고인듯합니다. 다만 화장실에 비데 설치기 되었으면 하는 조그만 아쉬움이 있습니다. 이것 빼곤 방 크기도 넓고 숙박하기엔 아쉬움이 없습니다.

추천드립니다.",4.5,0
2023.09.10,84154,lov**,방이 진짜 넓고 깨끗했어요~ 넓은 쇼파에 깜놀~~ 스타일러도 있어서 사용했어요~ 수건도 넉넉히 있고 편해요~ 아침에 불국사 걸어서 다녀오기 좋아요~ 주변 볼거리가 있어서 접근성 짱!! 조식이 조금 아쉬운데 식빵에 콘푸로스트 우유에 타먹었어요~ 쿠키가 누지고 쩐내가 나서 차라리 없애고 컵라면이 있었으면 하는 저의 바램ㅎㅎ 하지만 다른것들이 다 만족스러워서 이정도쯤은 감안해도 될듯합니다~,5.0,0
2023.10.28,84154,mim**,"티비 고장나서 아예 안나오고. 프론트말했더니  고치느라 한시간은 뻘쭘한 분위기로 쉬지도 못하고.
직원분도  방교체도 안되고. 티비는 기사님이 방문해서 as받아야 해서 오늘은 이용못하신다 하시고.
환불은 100프로 해주겠다 하던데
그때 시간이 7시가 넘은시각.  이미 잠옷 다 갈아입고 짐 다풀었는데.
이렇게 불편을 주면어  백프로 환불해주겠다고 선심쓰듯이   참 어이가 없더군요.
그럼 우리는 밖에서 노숙하나요? 하니
여긴 만실이니 다른업소 알아봐드릴수 있다면서... 진짜 어이가 없어 할말을 잃었어요.
막말로  티비없이 있을래  맘에 안들면 나갈래 
갈때엏음  알아봐주께 그말이자나요.
그냥있기는 너무 손해보는것 같고.  해서 결국 제가  늦은 퇴실 얘길했더니  그렇게 하시라는 겁니다. 
결국 티비없어서 너무 불편함을 걲었고
핸드폰 충전도  너무 저속충전이라
풀충전에 10시간 뜨더군요.
둘다 전화밧데리도 없는 상태라  핸드폰 교대로 조금씩 충천해가면서  유투브보고  시간 보냈네요ㅠㅠ
이런점 꼭 개선하셔야할것 같습니다",2.5,0
2023.10.07,84154,aro**,"방은 넓었으나 가성비는 조금....
주변에 숙소들이 많으니 함께 잘 찾아보시길...

조식은 빵과 우유 시리얼이랑 커피가 있습니다. 
시리얼 통이 노후더ㅣ었는지 고장이 나있었고 쿠키는 먹을 수 있는 수준은 아니었읍느다 위치는.좋으나 주변에 대안이 많ㄹ음",2.5,1
2023.09.10,84154,lov**,신축건물인듯 깨끗하고 넓어서 좋아요~ 특히 공기청정기가 있어서 만족스럽네요~ 내차만 따로 주차할수 있어서 문콕할 걱정 안해도 되고 재방문각입니다~,5.0,0
2023.06.06,84154,eyk**,"룸 컨디션이 좋아요. 
크기도  답답하지 않게 넓은편이고 샤워부스와 변기가 분리되어 있어 편리해요. 다만 변기 수압이 낮은것 같으니 주의해야 할것 같고  샤워타월은 따로 없습니다. 이외에는 침구도 깔끔하고 일회용품 구비되어 있어요. 개인적으로는 침대 옆 협탁이 양쪽에 배치되어있어 편리했어요. 토스트와 라면같은 조식도 준비되어 있다는데 이용은 안했네요. 
비가 내려 드라이브인 객실이 좋을듯 했지만 스탠다드가 좀 더 넓다 하여 선택했는데 만족합니다.
가성비가 매우 좋은편으로 추천합니다.",3.8,0
2023.10.18,84154,rat**,오.. 다음에 경주여행하면 무조건 숙박은 여기로 잡을겁니다!,5.0,0
2023.06.16,84154,087**,"대표님과 직원분들 엄청 친절하세요~
시설 깔끔하고주변이 조용해서 좋아요^^
해마다 경주 내려오는데..라쿠스호텔은
작년에 이어 두번째에요~!
내년에도 라쿠스로 올꺼에요~!!!",5.0,0
2023.05.15,84154,wkd**,"전체적 시설 맘에 들었어요
가족들이랑 지내기 불편함 없었구요
불국사 근처라 다른곳은 갈때 조금
걸렸지만 크게 불편하지 않았어요",4.5,0
2023.05.12,84154,lee**,프리미엄한실 저상침대라서 6살3살 아이도 안심하고 편안하게 잘잤어요 욕실도커서 편안하게 목욕했답니다. 욕실 의자가 있었으면 좋겠네요^^,5.0,0
2023.04.08,84154,fox**,"침구와 침대가 너무 좋네요.
구스 이불도 너무 포근하고, 시몬스침대도 좋아요.
첨엔 그저그런 모텔들이 주변에 많아서 큰 기대를 안했는데, 앞으로 포항오면 여기만 묵을 거 같아요.
조식으로 주는 전복죽도 고퀄에 맛도 좋았구요.
전체적으로 상당히 괜찮은 호텔이었습니다.
주변에 누가 포항 간다면 적극 추천해주겠습니다.",4.8,0
2023.02.19,84154,we1**,모텔이랑 같이 있어서 고민 많이 하다 리뷰보고 속는셈치고 간건데 진짜 강추입니다!! 넓고 쾌적하고 아이들이 있는 가족에겐 최고의 숙소에요^^ 프론트에 계시던 분께서도 아이들에게 다정하게 인사해주시고 너무나 잘있다 와서 경주여행이 너무 즐거웠습니다! 고마운 마음에 후기를 꼭 남기고 싶었네요^^,5.0,0
2023.02.11,84154,736**,"숙소예약하면서 후기에 많이 속았는데.. 여기는 후기가 찐이에요! 일단 정말 깨끗하고, 방도 넓고, 친절하시고 대체적으로 완전 만족합니다.
또 경주에 오게된다면 다시 예약할만큼 만족이요!!!",4.8,0
2022.10.03,84154,beb**,"불국사 근처. 매트리스 푹꺼짐없이 다소 단단히 지탱해주고 침구는 바스락 소리나는 깨끗함. 스타일러 있어서 다음날 구김없이 입을수 있음. 숙소 앞 마트. 조식은 청결하고 간단히 해결가능. 
월풀 소음으로 오래 이용 어려움. 세면대 이용 불편. 얇은 가운. 빗과 트리트먼트, 거품 입욕제 챙겨가면 좋을듯..",5.0,0
2022.08.22,84154,tom**,"딸과의 여행^^~
뷰, 시설, 청결 모두 만족스러웠습니다.
 아주 살짝 아쉬운점은 화장실 물 내리는 소리가 너무커 자다 누가 화장실 가면 모두가 잠이 깬다는 ㅠㅠ 그러나 감안하더라도 굿~~~ 이였습니다. 
부산올일 있으면 또 가겠습니다~",5.0,0
2022.08.20,84154,rpq**,"차량 있어서 교통은 불편한게 없었습니다!
숙소 너무 깔끔하구, 시설도 너무 좋았기에 가격대비 주변 호텔들에 비해 후회가 없던 선택이었어요 :) 경주 오게될 때 재방문 의사 200프로 입니다 !!",4.8,0
2022.05.20,84154,llo**,"무엇보다 넓고 깨끗해서 너무 좋았어요.
침대도 넓고, 티비도 크고, 화장실, 샤워실, 세면대가 각각 나눠져 있어서 씻을때 각각 다른걸 하니 시간절약도 되었네요.
다음날 아침에  8시 30분테 조식먹고 9시에 걸어서  불국사 다녀오고 방에 돌아와 체크아웃 전 잠시 쉬고 다음일정 소화하기 딱이었어요.",4.8,1
2022.05.20,84154,dhd**,"시설도 너무 좋고 개인차고가 있어서 좋았고
바로 차고를 통해서 숙소로 들어갈 수 있어서 더 좋았습니다! 방도 진짜 넓어서 쾌적하고 화장실과 샤워실 세면대가 분리되어 있어서 저는 더 편안하게 사용했던거 같아요! 경주여행을 또 묵고 싶은 곳입니다! 너무 잘 쉬다 가용용",5.0,3
2022.05.06,84154,dkg**,"시설이 엄청 깔끔하고 공기청정기도 있고 
침대랑 티비도 커서 좋았어요 
침대가 푹신해서 잠도 잘잤네요
창문도 커서 환기도 잘되서 좋았구요
화장실도 넓직하게 되있어서 둘이 씻고 
준비하기에 수월했어요 숙소가 너무 맘에 들어서
경주여행 즐겁게 마무리 하고 갑니다 ㅎㅎㅎ",5.0,0
2022.03.30,84154,tkq**,"남자친구랑 경주 여행 와서 하루 묵었어요
경주월드에서 놀구 나와서 차로 한 15분정도 걸린거같아여 신축건물인지 안에가 엄청 깨끗하구 객실도 엄청 넓구 침대도 넓고 전객실 금연이라 담배 냄새도 안나고 여러모로 좋았어요 !! 
주차장도 내부랑 외부에 있어서 공간도 넓고 주차하기 편했어요 대만족합니다 👍🏻👍🏻",5.0,1
2022.02.22,84154,coc**,"인테리어가 세련되고 편리해서 좋았고
바닥이 대리석인 것도 마음에 들었어요
다만 깨끗해보이는데
양말에 뽀얗게 먼지가..ㅎㅎ 조금 실망
일회용슬리퍼 필수착화입니다
자매여행이었는데 방한가운데 욕조에서
둘러앉아 족욕도 하고
아일랜드 식탁에서 한잔하면서 얘기도 하구요
침대도 베개도 아늑하고 편안했습니다
아주 만족했구요
종종 오자고 했어요^^
좋은 추억 한페이지 만들고  왔습니다",4.8,1
2021.12.31,84154,ham**,"청결 문제는 말할 것도 없이 최고였구요
겨울이었는데 이중창도 확실하게 되어 있어서
비닥 뿐만 아니라 우풍 없이 공기 자체도 따뜻했어요
바닥 난방은 직접 조절할 수 있어서 편했구요
샤워실 따로 분리되어 있었고 좋았어요
공기청정기도 좋은 모델이라 디테일하게 조절해가면서 편하게 잘 이용했구요
넷플릭스 웨이브까지 모두 시청할 수 있습니다
조식 서비스로 시리얼도 주신댔는데
저희는 먹진 않았지만 참고하시면 좋을것 같네요
늦게 도착해서 치맥하려고 치킨 시켜놓고
맥주사러 걸어나갔는데 바로 앞에 마트도 있었어요
개인적으로 호텔이라고 명칭되어 있지만
그냥 모텔과 별다를게 없는 숙박업소도 많았는데
가격도 저렴하면서 진짜 만족스러웠어요
다시 경주가면 꼭 여기서 또 묵을거에요!!!",5.0,0
