reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.02.19,72130,925**,"프론트에서 큰목소리로 로비에 다 들릴정도로 ~
대실예약어디로 했나요.
야놀자등등
5분이상소용 되어고
더이상 말하기 싫습니다
중년남자에 무례한태도
두번다시 가기싫네요
퇴실하는데 청소부아줌마
숙박아니가요 하고
정말 서비스정신없는 숙박업소이네요",4.0,0
2020.11.11,72130,48w**,"직원분들은 친절했어요
깨끗하고 시설도 좋았지만 같이 리모델링이 안된건지 책상에 가려진 벽이라든지 침대로 가려진 벽은 오래된 게 보이더라구요.
그래도 바닥도 따뜻하고 전기장판도 있고 시설도 깨끗하고 좋았습니다",4.3,0
2021.04.12,72130,kip**," 침대가 몹시 딱딱합니다 
그리고 침대 옆에 조명등이 바로 있는게 아니라서 
조금 찾아헤멧습니다 

전반적으로 깨끗하고 이용하기 좋아서 괜찮았는데 
침대만 조금 바뀌면 더 자주 올 것 같습니다 ",3.8,0
2022.10.31,72130,doh**,"침구가 많이 딱딱하고, 내부가 많이 낡았어요..
침구도 약간 해진 부분이 았고
수건에도 얼룩이 있는게 있어서 위생은 그닥인거 같아요…
위치는 역에서 도보 10분 정도라 나쁘지 않고
방에 스타일러가 있어 출장 시 잘 사용했습니다",3.3,0
2021.04.03,72130,bmy**,"제일 싼 방이라 그랬다고 믿고싶음
침대는 딱딱
수압 약함
인테리어 수리도 안해둠
비데 없음
방음도 의문
의미없는 좌식의자 하나 냅둘 가격으로 시설을 개선을 해주시죠

드라이어 바람이 센게 그나마의 장점임",2.5,0
2020.09.12,72130,21a**,이렇게 세심해도 되나 싶을정도로 용품 하나하나에 배려가 느껴졌어요!(특히 고데기랑 선풍기랑 마스크팩) 그러나 침대가 너무 딱딱해서 잘 못잤어요,3.8,0
2020.08.09,72130,gre**,애어컨만 키면 담배 냄새 때문에 비흡연자에게는 너무 고통이었네요. 에어컨을 세게 틀어도 성능이 떨어져 덥고 선풍기 필수입니다. 1층에 프론트와 식당이 같이 있다는 점도 참고하세요.,2.8,0
2023.09.15,72130,una**,좋은시간 잘 보내고 갑니다 !,5.0,0
2023.09.21,72130,zun**,"일박하기에는 쏘쏘입니다
접근성은 좋네요",3.5,0
2020.01.14,72130,lov**,리모델링한곳이라 복도와 외부는 예쁘게 잘 꾸며져 있는데 방은 별로네요 침대도 푹신하지는 않네요,3.5,0
2022.06.06,72130,ann**,"전객실 금연이라서 냄새안나고 좋았어요
잘뮥었다가 갑니다.",5.0,0
2022.05.15,72130,mir**,"호텔에 흡연자가 있어 담배냄새가 심하며, 주변이 유흥가로 새벽까지 시끄러운데 방음이 안됨. 방 불 전원이 2~3시간마다 저절로 켜지고 꺼지기를 반복함. 잠을 잘수가 없음.",2.0,0
2021.09.30,72130,coo**,"다 좋았습니다.
헌데 옆에 공사를 해서 아침 7시 부터
소음이 엄청 컸습니다.",5.0,0
2021.02.09,72130,sbn**,추운날씨에도 객실 난방관리와 객실관리가 잘 되어 있네요,5.0,0
2021.01.04,72130,zes**,"시설 깨끗하고 접근성도 아주 좋았어요
단점이라면 냉장고 소리가 좀 크더라구요. ",4.8,0
2020.09.21,72130,dbg**,조식도 최고 친절도 최고 부모님과 함께 이용하였습니다 부모님들도 만족하셨어요~^^,5.0,0
