reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.07.12,91699,tae**,계명대쪽 출장 올 일이 종종 있는데 출장 올 때마다 여기 이용해요! 건물도 깔끔하고 침구류가 좋아서 꿀잠잡니다ㅎㅎㅎ조식도 메뉴가 아주 다양하진 않지만 깔끔하게 한식 위주로 잘 나오고 맛있어요~,4.8,0
2023.04.30,91699,jyb**,"신축이라 그런지  조금냄새가 났지만
아주  좋았습니다
카드키가  두개였음  좋을것같고요
조식도 꼭 먹을것만  있어  좋았습니다
특히  스프 맛있었습니다
대구 자주 방문 하면서  메리어트부터
다  묵어봤지만  젤  좋았던것  같아요",5.0,0
2023.04.16,91699,opp**,"새로 생긴곳이라서 후기가 별로 없어서 걱정했는데 괜한 걱정이였어요.
스타일러,공기청정기까지 있고 침대도 에이스👍
가장 좋았던점은 일찍 도착했는데 차가 두대라서 주차안될까봐 걱정했는데 키 먼저 주시고 주차도 가능하게 해주셨어요^^
그리고 조식 꼭 드세요 최고에요
앞으로 성서 갈일있으면 무조건 여기 갈 예정입니다",5.0,0
2023.08.02,91699,bjh**,진짜 깔끔하고 편안하게 잘쉬다왔어요   방도 넓고 좋았네요 가족이 푹 쉬었고 바로 맥도널드   있어서 간식도 잘  먹었습니다,5.0,0
2023.02.27,91699,cml**,차가 없으면 교통편이 조금 힘들것 같지만 그 외에는 모두 만족했습니다 !! 가족여행이었는데 다음에도 숙소는 여기로 올 생각이에요 😃 😃,4.5,1
2023.04.15,91699,my6**,"침구 깨끗하고 좋아요~ 출장갈때마다 이용중입니다
서울에서 가다보카 새벽에 늦게가서 체크인을 해서 좀 죄송하네요😓",5.0,0
2023.04.17,91699,hig**,"깨끗하고 넓고, 신축이라 깔금하고 매우 좋습니다.
조식도 잘 먹었습니다.",5.0,0
2023.04.02,91699,my6**,너무 좋아요👍🏻👍🏻 출장오면서 잡은건데 룸 컨디션 너무좋네요,5.0,0
2023.04.25,91699,my6**,침구 깨끗하고 출장갈때마다 이용중입니다,5.0,0
2023.04.05,91699,my6**,룸컨디션 너무 좋숨다👍🏻👍🏻,5.0,0
2023.02.23,91699,khy**,생각했던것보다 너무 룸컨디션도 좋고 만족했어요~!,5.0,0
2023.01.31,91699,hes**,방이 깨끗하게 잘되어있고 조식서비스도 너무 좋았습니다,5.0,0
2021.02.14,78630,pur**,깔끔하고 전체적으로 만족했어요! 렌즈액도 까먹고 안들고 갔는데 프론트에서 친절히 주셨어요~ 다만 침구 이불만 좀 바스락?거리는 재질이라 부드러운 재질을 좋아하는 저한테는 안맞더라구요ㅜ 그외에는 전부 가성비 대비 아주만족이예요!,4.8,1
2020.11.27,78630,mhs**,조식도 먹을수 있어서 좋았어요 라면 빵 계란 등 아침에 먹기 좋아요~다만 저는 애들 시험때문에 방을 잡은거라 애들이랑 같이 있었는데요~근처가 유흥가라서 밥먹으로 나가기는 좀 그랬어요~,4.5,0
