reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.18,70018,ny0**,투숙시 배정 방이었는데 침대 세개 있는 트리플 룸으로 주셔서 잘 쉬고 왔습니다. 원래 여기 조식 좋아해서 꼭 먹는 편인데 카프레제 샐러드의 모짜렐라 치즈를 빼고 그냥 토마토 위에 코코넛 가루 같은 것만 뿌려 놓으셨더라구요. 아마 원가절감 때문에 그런 거겠죠? ㅠ 대신 욕실 스펀지는 일회용임에도 너무 재질이 좋아서 담번 여행 때 쓰려고 챙겨왔답니다.,5.0,0
2023.10.04,70018,siw**,제가 투베드룸인줄 알고 원베드룸 잘못 예약했는데 친절하게 교체해주셔서 감사했습니다. 대전 롯데시티호텔은 이번이 3번째에요. 대전 여행할때마다 이용하는 곳이라 항상 편안합니다! 이번에 가족들과 함께 했는데 모두 좋아했어요!,5.0,0
2023.09.13,70018,lsy**,"편히 쉬다 왔습니다.
더블룸으로 예약했는데 싱글 침대 두개가
붙어있는 룸으로 주시길래 바꿔 달라고
하니 비꼬는듯한 말투는 기분 나쁘더군요.
그러려니 생각합니다.

3층 시티뷰 장애인 객실 잘 쉬고 갑니다.",5.0,2
2023.09.11,70018,zzz**,"청결도도 만족, 필요한 서비스를 신속하게 해결 해 주셔서 더 만족입니다. 주변 와인 박람회등으로 혼잡이 있었는데 질서유지가 원활하게 되는 모습에 전문적인 모습으로 다가와 신뢰가 되었습니다.",5.0,0
2023.08.28,70018,obj**,"침구가 편안해 좋았고 바로 앞 성심당이 있어요 임시매장이지만ᆢ
주변 상권이 잘되어 있어 머무르기 좋았습니다ㆍ체크아웃이 12시라 더 좋음",5.0,1
2023.08.05,70018,okm**,"침구상태도 너무 좋고 성심당은 바로 코앞이고
한빛탑 음악분수도 도보 8분정도 가까워요
꼭 차두고가세요~! 근처에 먹거리 상가도 많고
조식도 맛있어요 꼭 먹어요 :) 
빽다방,메가,스벅 카페도 많아서 좋았어요
신세계 백화점도 가깝고 아울렛은 차로 15분정도
여름성수기인데도 조용하고 아주 좋아서 푹 잤어요 :)
가족 여행으로 방2개 잡았는데 잘 놀다가요
모두 만족해서 첨으로 후기 남겨요
대전은 처음이었는데 모든게 마음에 든 여행이었요
대전 노잼도시라던데 다 거짓부렁이었네요 ㅋㅋㅋ",5.0,0
2023.06.25,70018,psy**,"임시지만 성심당 케잌부티크가 2층에 있어 좋았고 직원분이 체크인 시간도 예약된 방의 형태도 달랐는데 친절하게 붙여서 방 배정해 주셔서 감사했어요
그리고 힘든 일을 겪고 피곤했지만 체크인 시간 안되어 그냥 성심당 이용하려 했는데 마침 객실 청소가 완료 되었다고 체크인 해 주셔서 고마웠어요
계속 잘 이용할 거예요",5.0,1
2023.06.25,70018,siw**,대전여행할때마다 2번 정도 이용했는데 친절하고 깨끗한 호텔이었습니다. 주변에 다른 건물이나 풍경들도 조용하고 깨끗해서 항상 느낌이 좋아요!,5.0,0
2023.04.29,70018,yeo**,대한민국 과학축제 체험 겸 대전 여행으로 체험장소와 가까운 호텔을 선택했어요.대전 호텔은 처음이어서 어떨지 궁금했었는데 생각외로 너무 좋았어요.일단 여자직원분께서 엄청 친절하게 대해주시고 객실도 업그레이드 해주셔서 감사했습니다.평일인데도 비싼 가격이라 아쉬웠는데 모든 컨디션이 좋아 만족했습니다.,4.5,0
2023.03.27,70018,cha**,"대전에서 믿고 갈 수 있는 훌륭한 숙소입니다. 위치는 대전역이나 터미널에서 좀 떨어져 있어 대중교통으로 접근하기는 좋지 않습니다. 하지만 호텔 주변에 대전 신세계백화점, 한밭수목원, 대전예술의전당 등 대전을 대표하는 문화시설이 밀집해 있어 볼거리, 놀거리, 즐길거리가 가득하다는 장점이 있네요.

객실과 시설은 깔끔하고 잘 정비되어 있었습니다. 아쉬운 점이 있다면 텔레비전이 멀티미디어 기능을 제공하지 않고 일반 채널만 나온다는 점이었네요",4.8,1
