reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.14,81829,lee**,"바닥쪽 창틀에 먼지가 보이더라구요.. 그래서 바닥은 찝찝해서 슬리퍼 신고 다녔어요 
그리고 드라이기때문에 정말 큰일 있을뻔했어요 비품들 관리가 필요할거같습니다
뷰는 정말 최고입니다",3.3,0
2023.10.06,81829,hyu**,방을 업그레이드 해주셔서 덕분에 저희 엄마의 호캉스가 완벽할 수 있었습니다. 정말 정말 감사의 인사 드립니다. 다음에 다시 꼭 갈게요!!!❤️❤️,5.0,0
2023.09.01,81829,wog**,"청결하고 위치가 좋아서  다음에 또 오고 싶은 의사 있습니다.
룸 업그레이드 해주셔서 조금 더 쾌적한 곳에서 잘수 있어서 감사합니다.",5.0,2
2023.07.28,81829,sta**,"전체적으로 깨끗했고 침구류가 부드럽고 푹신했음
바로 앞 해수욕장과 뒷골목엔 먹거리가 있어 좋았어요. 음.. 좀 불편했던 건..엘레베이터가 한개라 좀 기다려야해요ㅎㅎㅎ 그치만 복도에 에어컨이 있어 기다리는 동안 추웟지 덥지는 않았어요ㅋㅋㅋ
그리고 아침에 일어났을때 뷰가 넘 좋아서 
누워서 앞바다 감상했어요ㅋㅋㅋ 또 올게용!!",4.8,2
2023.09.04,81829,829**,"바다가 예쁘게 보이고,
화이트 톤이라  좋았어요!
살짝 머리카락이 침구류와 자갈 쪽에 있는 부분만
빼면 직원분들도 너무 친절하시고,
접근성도 좋아서 매우만족이에요",4.0,0
2023.05.16,81829,seo**,위치좋고 깨끗해요. 직원분들 친절하셔서 좋았어요. 그런데 사진과 실제가 틀린 느낌이 강하고. 방에서 락스냄세가 진동을해서 머리가아팠어요. 방음 완전제로이구요. 차도옆이라 씨끄러운건 감안하셔야하구요.,4.3,1
2023.10.11,81829,dbw**,가격대비 접근성 깔끔함 인테리어 다 만족했습니다. 방 뷰도 괜찮았구요.,4.5,0
2023.09.12,81829,tig**,직원분들도 너무 친절하시고 방도 업그레이드도 해주시고 청결하고 너무 좋앗어요 재방문의사 100퍼센트입니다,5.0,0
2023.05.29,81829,bro**,"사진보다는 좁아서 6명이 이용하기에는 빡빡할듯해요
4명까지는 괜찮을듯 합니다.
어메니티 없어요 칫솔밖에 ㅋ
그래도 깔끔하고 오션뷰와 위치때문에 또 갈예정입니다.",4.8,0
2023.05.27,81829,mag**,들어가는 순간  향기와 깨끗한  룸  컨디션이 가성비  갑 이었던  좋은숙소였고  직원들도 넘  친절하셨고  위치도  아주 좋았다~,5.0,2
2023.04.25,81829,zak**,"직원분들 너무 친절하시고 밤에 소음 조금 있었는데 12시 이후로 칼같이 조용해져서 불편한 점은 없었어요!
다만, 욕실 샴푸, 린스, 바디워시에 이름이 안 적혀있었습니다. 프론트에 문의했더니 직원분도 당황하시고 색으로 구분해서 알려주셨습니다 ㅎㅎㅎ",4.5,1
2023.04.07,81829,poo**,"해운대 비치 바로 앞에 있어요! 위치가 너무 좋았구요. 직원들 친절함에 놀라고 체크인 하고 방에 들어 갔는데 은은한 향기에 두번 커튼 사이로 해운대 비치가 촤아아악~ 정말 반했어요~
다음에도 꼭 방문예약 꾹 하려고요~",5.0,3
2023.03.17,81829,ksy**,"방에 들어서자마자 은은한 향기와, 바다를 비추는 창문이 부끄럽지 않게 눈치껏 분위기를 담당하는 무드.

ㅋ가는 길 지루해서 감성글좀 썼어요..
전반적으로 직원분들도 친절하고 좋았는데 변기쪽인지 하수구쪽인지 살짝 냄새가 나는것 빼고는 괜찮았어요. 충전기도 각 방에 배치되면 하는 바람입니다. 어쨌든 결과적으론 잘 쉬다 갑니다🙃👍",4.8,2
2023.02.19,81829,wjd**,"들어가자마자 티비에 제즈 음악 잔잔히 깔려있었는데 그 느낌이 너무 좋았어요 ♡ 그리고 샤워시설,침구 깨끗해서 좋았습니다 ! 샴푸,린스,바디워시 향에 민감한데 향 좋았습니다! 방음도 어느정도 잘되는것같어요 ! 직원분도 너무 친절하시고 완전 만족한 이용이였습니다아! 다음에 또 여행간다면 또 예약하고싶어요 ♡",5.0,2
2022.11.13,81829,tue**,"6인실은 3층 혹은 4층에 밖에없다해서 뷰에대해 살짝 걱정하면서 왔으나

대박!! 어머니랑 알콩달콩 좋은시간보냈습니다
직원들도 너무친절하시고 취사 가능한점까지 너무 만족스러웠습니다",5.0,1
2022.11.06,81829,soo**,"해운데 바로 앞이라 3층이어도 시원하고 좋습니다. 6인실에 화장실이 1개라 아쉽지만
방이 매우 깨끗하고 필요한 건 다 있어 전혀 문제없습니다.
그리고 복도 바닥에에 비스듬한 경사로 부분이 있어 주의 표시가 바닥에 되어 있으면 좋을 것 같습니다.
주차는 본건물에는 지정주차만 가능하다고 하여  하지 못하고 5분이내 거리에 있는 별관 기계식엘리베이터 타고 올라가 2층에 주차하였습니다. 불편하지만, 문제는 아닌 것 같고, 주차관리인에게 매번 동일한 질문이 많은지 대꾸는 잘 안해주시고 필요한 정보만 전달해주시네요.
그래도 이용에 만족합니다.",5.0,4
2022.10.22,81829,epi**,"뷰가 환상적이었던 호텔💗

-장점-
•뷰가 최고에요
•바다/지히철역 둘다 가까워요
•와인잔/오프너/컵이 방에 있어요
•가격 나쁘지 않아요
•직원분들이 친절하세요

-단점-
•안막커튼이 아니라서 아침에 햇빛으로 깨요
•수압이 약해요
•같은 건물에 호텔이 2개인데 엘레베이터가 하나뿐이에요",4.5,3
2022.10.21,81829,mel**,"11층으로 배정받았구요
이날 bts콘서트라...콘서트 한다고 뉴스 나오기전에 예약하긴 했지만 혹시 강제 취소 당하지 않을까 걱정했는데
그런거 없어서 감사했어요ㅠㅠ
좁다는 후기를 많이 봤는데
일본비지니스호텔을 많이 다녀봐서 그런지 
좁은 느낌 전혀 없었고 생각보다 넓고 좋더라구요
그리고 바다도 잘 보이고 전망도 최고!!
해운대 길건너라서 위치도 너무 좋고 2칸짜리 냉장고와 전자렌지도 있어서 만족스러웠습니다.
그리고 무엇보다 직원분들 너무 친절하셔서 좋았어요.
다음에 또 가고싶은 마음이 드는 곳입니다.",5.0,0
2022.09.24,81829,q08**,"너무너무 깔끔하고 좋았어요!! 다만 창이 생각했던것보다 작았어서 ㅠㅠ 창이 두배였음 더 좋았을것같아요,,, 엘베도 하나라 하나로 왔다갔다하기가 오래걸리더라구요ㅜ 그래도 앞에 해수욕장있는거나 주변에 뭐 많은건 좋았습니다!",5.0,4
2022.08.29,81829,kyc**,"직원분들도 친절하시고 갑작스런 얼리 체크인도 처리해주셔서 감사했습니다. 해운대 바다 바로 앞이라 접근성도 넘 좋았고요! 밤에는 버스킹 소리가 약간 시끄럽긴했지만, 그것말고는 모든 컨디션이 다 좋았습니다~ 가성비 좋은 호텔! 추천해요",5.0,2
2022.08.03,81829,kcy**,"해운대랑 증맬 코앞이에요 접근성부터가 아주 좋고
지인짜 더웠는데 숙소 딱 들어갔을때 
향기도 좋고 시원해서 너무 쾌적했어요,,
진짜 만족 !! 
그리고 친절하기도하고 침대도 푹신해서 
꿀잠잤어요 🤍
뷰도 넘 좋고 방 컨디션도 좋아서 재방문 꼭 할거에요!",5.0,1
