reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.08.20,82811,kko**,선택한 룸이랑  다르다고 했더니 사장님이 룸 업그레이드 해주셨어요ㆍ넓고 이용하기 편리했습니다ㆍ 머리카락들이 좀 나와서  침구 교체도 해주시고 서비스 좋았습니다ㆍ청소상태만 좋다면 다시 이용하고 싶습니다ㆍ,4.0,0
2022.08.30,82811,smj**,전반적으로   청결하게 정돈이 잘되있고 친절해서 좋았읍니다. 호텔인근에 일요일에는 아침일찍부터 장을서서  너무 재미있는 구경도하구 시장백반집은 갓지은 쌀밥에 된장찌개에 생선구이백반을  오천원에 먹을수 있어 너무 좋았네요. 굿입니다~^^,4.8,0
2021.08.03,82811,l01**,저번레 갔다가 이번에 다시 이용했는데… 전체적으로 만족 여자친구도 완전 마음에 들어했습니다. 하지만 이번에는 담배냄새가 나서 조금 아쉬웠어요!!ㅠㅠ 그래 전체적으로 너무 좋았습니디,4.5,0
2021.07.03,82811,nam**,"방이 전체적으로 넓고 깔끔하고 너무 좋았어요! 전자레인지랑 젓가락 구비도 대박입니다!!
다만 건물 주위 시장 때문인지 어떤 이유 때문인지는 잘 모르겠으나 이른 아침부터 사람들 소리로 너무 시끄러워서 그부분이 조금 아쉬웠어요.. ㅜ 나머지는 다 너무 좋았어요!",4.5,0
2021.06.28,82811,rht**,프론트에 계신분이 조금 무뚜뚝하신건지 그래서 좀그랫어요 그리고 차량으로 나가는곳 이라된곳이 한쪽은 시장통이고 한쪽은 가구점이있어서 가구 빼신다고 주차해두셔서 나갈수가없어서 다시 들어가서 입구로 들어오는곳으로 나갓어요 주차장에서 빠져나가는게 좀 많이 불편하더라고 제대로 설명도(이정표)도없고 방은 진짜 좋아요 사진이랑 똑같이 생겻어요 완전 힐링하고 왓어요,3.5,0
2022.10.14,82811,gjx**,"일단 들어갔는데 냄새가 진짜 너무 좋아요 ..
무슨 냄새인지 물어보고싶었는데 참았어용 ..
브라운도트라 시설도 깔끔하고 잘 썼습니당 ㅎㄹ",5.0,0
2022.06.13,82811,ald**,"인테리어나 시설은 만족합니다
근데 저희 딱 입실하자마자 바닥에 물이 있더라구요…다른분 나가시고 청소를 안하신건지..ㅠ
그리고 수건도 세탁이 덜되서 더럽더라구요,,,ㄷㄷ
청결은 정말 최악이였어요ㄷㄷ
청결빼면 시설이나 인테리어는 괜찮았고 침대도 푹신했어요….
청결 신경좀써주세요ㅠ",3.3,0
2023.04.08,82811,psh**,피곤한 상태로 밤늦게 도착했는데 청결한 방과 침구류때문에 편안한 휴식을 취할수 있었습니다. 다음에 또 방문 의사 있습니다.,4.8,0
2022.08.16,82811,f61**,"정리해야할 과제가 있는데 
카페 가려다가 시원한곳에서
집중하고싶어서 간 곳^^ 
깔끔하고 좋았습니다^^",5.0,0
2023.08.02,82811,cha**,너무 깨끗하고 시설 좋았어요,5.0,0
2023.05.11,82811,nic**,아가리좀해라 리뷰한다고 시간존나잡아먹네,5.0,0
2022.12.20,82811,pop**,"사장님 매우 친절하시구,
룸 컨디션도 최고였습니다 ^^",5.0,0
2022.02.26,82811,fin**,침구류에 예민한데 깨끗했고 전체적으로 다 깔끔하고 만족스러웠습니다,4.8,0
2023.08.08,82811,doi**,"가격대비 좋았습니다 
재방문할듯합니다",3.0,0
2023.06.14,82811,doi**,"여러모로 괜찮습니다 
침구류, 청소, 시설 등
재방문의사 있습니다",3.0,0
2023.08.31,82811,for**,컴퓨터 이상듀 많고 별로에요,2.8,0
2023.02.06,82811,hso**,"방넓고깨끗하고 좋아요 
다만 시장근처라 아침일찍 조금
시끄러울순있어요",3.8,0
2022.09.04,82811,ggr**,"객실상태괜찮은데 담배재떨이랑 라이터가 방에 있고
담배찌든냄새가 조금났음
주차하기좋고 전반적으로 무난",2.8,0
2021.10.11,82811,qhd**,모기가 너무 많았어요 .. 주차공간도 객실보다 적응것 같았어요ㅠㅠ,3.8,0
2022.12.22,82811,jeo**,"접근성이 좋고
전체적인 시설이 깔끔한게
좋앗습니다",5.0,0
2022.09.09,82811,umt**,근처에 시장이 있어요.,5.0,0
2022.07.17,82811,nkx**,푹쉬다갑니다 최고에여,5.0,0
2022.06.18,82811,you**,집보다 꿀잠자서 자주이용합니다,5.0,0
2022.06.05,82811,dri**,조용하고 주차시설 잘되어있어요,5.0,0
2022.05.27,82811,dri**,조용하고 주차시설 잘되어있어서 좋았어요,5.0,0
2022.05.16,82811,aqu**,방상태 깔끔하고 괜찮았습니다,5.0,0
2022.03.18,82811,gis**,넘 깨끗하고 편하게 잘 쉬고 갑니다,5.0,0
2022.03.08,82811,gis**,청결하고 따뜻하게 잘 잤습니다,5.0,0
2021.10.19,82811,gya**,시설도 좋고 전체적으로 깨끗하고 좋았어요,5.0,0
2021.07.18,82811,cmf**,인테리어 시설 전부 만족했어요!,5.0,0
2021.04.14,82811,for**,최고의 시설이었습니다,4.5,0
2021.05.24,82811,do6**,엄청 깨끗하고 좋앗습니다,3.5,0
2021.07.07,82811,won**,장애인용방을 주셔서  불편한것말곤 괜찮았어요,2.0,0
2023.05.20,69668,jhk**,"너무좋았습니다
그런데 방축망이 바람때문인지
미세하게 열려있었는지 모르구 잤다가
모기떼들이 파티했네요🤣
그것 빼고 욕조 물수압 청소상태 침구상태
올 만족했습니다
편히 잘 이용했어요",5.0,0
2019.12.08,69668,doo**,"친정엄마 남편 10개월 아기와 같이 한 여행.
자쿠지에서 거품목욕도 하고 
푹신한 침구
아기땜에 바닥에 이불펴야해서 추가 침구 요청도
수시로 부탁드리는 일들고 친절히 해주셧어요.
다만 왔는게 세면대에 가래침이 있어서 
놀랏네요 ㅎㅎ 
다시 울산가면 판도라 방문할래요",4.8,0
2018.01.13,69668,err**,"512호 깨끗한 화이트 톤의 침실이였고요 베란다가 따로있었습니다. 지난번에는 베란다가 크고 테이블있는 창문이있는 베란다여서 더 유용했던거 같고요.

지난번도 그랬고 공간이 넓어서 답답함이 없어서 좋아요~",4.8,0
2020.02.29,69668,bor**,"전체적으로 만족합니다! 도보로 가는경우 날씨 좋은날은 걷기 좋아요. 비오는날 방문했으나 주변에 숙박업소들 많은데도 찾는게 어렵지 않았습니다. 로비도 넓직하니 예뻐서 문열고 첫인상이 좋았어요~ 특히, 방도 넓고 베란다에 스타일러랑 귀여운 상어인형이 심쿵 포인트였네요 :) 담배냄새 걱정했는데 다행히 없었구요 수건에서 밀가루 냄새? 같은게 나서 조금 의아했네요. 조식은 기대를 너무했는지 많이 아쉬웠어요. 핑크색 소시지라니 .. 국은 맛있었지만 어릴때 수련회와서 특별한거 없는 메뉴의 급식 먹은 느낌이었어요ㅠㅠ 룸은 너무 마음에 들어서 그걸로 위안이 됩니다.",4.0,1
2020.02.03,69668,bes**,"직원분이 친절하고 방이 넓고 주차가 편리해 재방문의사 있습니다. 다만, 방에 들어가자마자 본 침대 베개에서 긴 머리카락이 발견되어 청결 부분은 좀더 신경 써주셨으면 좋겠습니다. 스타일러는 유용하게 잘 썼습니다.",4.3,0
2019.12.21,69668,smi**,멀리서 친구들와서 방 잡은거였는데 너무 깔끔하고 애들이 다 만족해했네요. 좋은 시간 보낼 수 있어서 너무 좋았어요. 조식도 있다했는데 늦잠자느라 못먹어서 좀 아쉬웠네요. 그리고 전체적으로 깔끔해서 너무 좋았습니다.,4.0,0
2021.03.06,69668,dbs**,"다른곳들은 아이가 어리면 무료로 이용이가능한대
아이 개월수 상관없이 무조건 이용요금이 추가되더라구요 전체적으로는 깔끔하지만 샤워기 물 새는것과 변기 버튼이 고장난것등 은근 불편한게 많았어요",3.5,0
2023.09.25,69668,cey**,713호 너무 어두워서 조명은 좀 고치셔야할거같아요ㅠㅠㅠㅠㅠㅜ 다칠뻔 ㅠㅠㅠ,5.0,0
2023.02.11,69668,1ph**,"커피 포트가 뜨겁게 있어서 방금 까지 타인이 있었다는것을 알겠 된 순간 무지 기분이 나빠지만 직원들의 빠른 대응으로 잊기로...
가성비 좋아요",4.8,0
2022.10.27,69668,lea**,방이 넓고 쾌적합니다 수압도 세고 좋은데 샤워기가 좀 이상해요 교체하셔야 할 듯 합니다 누가 던졌는지 물이 막 터져서 세는 듯한... 901호,4.8,0
2022.01.02,69668,wls**,"전체적으로 너무 좋았어요! 대형 자쿠지도 엄~청 크고, 객실 청결도도 너무 좋아서 신경쓰신게 느껴졌답니다! 가격대도 괜찮아서 다음에 또 오고 싶어요",5.0,0
2017.10.07,69668,dms**,"2박 3일동안 너무 친절하고 청결한 곳에서 잘 쉬다 갔어요~침구류도 깨끗했고 부드럽고 좋았어요^^
다음에 여행가면 또 방문할꺼에요!",5.0,0
2023.01.14,69668,yhj**,"4시입실이고 방이 넓은 편이라 답답하지 않아요.
조식은 7시30분부터라 출장온 사람들에게는  조금 늦은감이 있네요. 7시부터면 더 좋을듯...",4.0,0
2021.03.07,69668,aff**,"일반 모텔보다는 넓고 괜찮은것 같아요. 조식이용 가능이라고 되어 있는데, 체크인할때 안내를 안해주셔서, 먹을수 있는지. 추가 비용내고 먹을수 있는지... 잘모르겠더라구요.",4.0,0
2017.11.19,69668,005**,"6시 체크인이었는데.. 9시에갔는데 방이 준비되있지 않다고 하시더라구요 ..ㅎㅎ 20분가량 기다려서 예약한 방을 받았는데 
담배냄새가 너무심해 1시간가량을 환기했네요.. 
듣기론 예약한방에 시설이 파괴되서 들어갈수없는 상태라 보수중이라 하셨는데 .. 30분전까지 다른사람이 사용한것같은 매쾌한 담배냄새는 뭔지.. 
시설도 좋고 접근성도 좋고 다좋은데 ,, 예약한 시간대보다 훨씬 늦게 갔음에도 방이 준비되있지 않다는점과 그전에 이용객들의 체취가 고스란히 남아있다는점에 기분이 그닥 좋지않았습니다.",3.3,0
2017.11.14,69668,vit**,"깨끗은한데
아웅.....방에 담배냄새가.......
앞 테라스도 있던데....
신설이긴한데 환기 좀 하고 새 손님 받았으면.....
빠질게 없을듯...",4.0,0
2017.10.09,69668,hay**,12시 58분에 전화와서 1시에 퇴실하면 만원추가요금있다고 선불로 문앞에 만원 놓으라는데 좀 그랬어여 돈찾고있는데 또 전화오고..  전에는 편히있다갔던거같은데 요즘은 쫒기듯이 나오네여,3.3,0
2023.07.17,69668,sil**,예상보다 넓고  좋았어요~ 칭구들이랑  잘 쉬었다  왔어요~ 담에  한번 더  가야  겠어요~,3.5,0
2021.08.21,69668,zhd**,방도 크고 침구류도 좋았어요 다만 방에 들어갔을때 담배냄새가 나서 향초 피워주셨습니다 이 점 빼고는 다 만족합니다,5.0,0
2021.08.16,69668,tmd**,"저같은 경우 방의 미쟝센을 먼자보게되는데, 방의 미모에 그냥 홀려버렸습니다. 타일, 조명, 그냥 무대를 찢어놓으셨다.",5.0,0
2019.11.23,69668,jja**,"엄마밥상 같은 한식으로 간단한 조식을 제공하는데, 참 맛나더라구요~   두 그릇이나 먹었네요~^^ 
가시면 꼭 드셔보세요~",5.0,0
2019.11.22,69668,sos**,VIP숙박했는데요. 전국에서 보지못한 스파를 가지고 계시더라구요. 여튼 정말 좋았습니다 ㅜ,5.0,0
2019.10.06,69668,doa**,"침구청소도 잘되있고 항상
판도라 이용하고 있어요 앞으로도
청소에 신경써주세요
잘쉬었다갑니다.",5.0,0
2018.08.04,69668,khr**,깨끗하고넓었으며 체크인시간에 비례해서 퇴실시간을 잡아줘서 시간적인 여유가 있어서 좋았습니다,5.0,0
2023.01.12,69668,yhj**,"전반적으로 룸 넓고 화장실 분리되어 좋습니다.
그리고 스크린골프에 조식까지...
접근성도 굿~~",4.0,0
2023.01.04,69668,don**,대체적으로  좋았어요 조금아쉬운점 은 평일은 조식되는데 휴일 조식인 안되서 조금서운 했어요,4.0,0
2018.10.27,69668,cdy**,"깨끗하고 넓은 객실은 좋았습니다.
냉장고 음료도 좋았습니다.
아침조식은 조금 실망이었습니다.",4.0,0
2018.10.19,69668,rjs**," 방바닥에 먼지나, 청소를 확실하게 한 느낌보다 
조금 발바닥에 먼지가 많이 밟혔어요 
나머진 괜찮았습니다",4.0,0
2017.11.08,69668,122**,"방크고 깨끗했고 발코니가 커서 좋았어요
흡연하시는분들이 특히 좋을듯
단점은 화장실 문이 유리라서 다보인다는것!",4.0,0
2017.05.30,69668,sjj**,"괜찮아요
위에 시끄러운 손님만 안오면
좋아요ㅜ
위에12시지나도 쿵쿵대는  무개념손님땜에
잠조금설친거 빼고는. .",3.5,0
