reviewAt,code,nickname,comment,avgScore,helpfulCount
2020.08.13,71774,jes**,"숙소자체에 청결은  쏘쏘이지만  찾아가는 길이 너무나 비탈지고 언덕이고 숙소도착해서도  올라가야해요 계단 을 ㅠㅠ
주변엔 다 수영장있는데 이점도 아쉽고요 사장님은 친절하시고 수건 침구류도 청결한 편인데 위치가ㅠㅠ...",1.8,0
2020.06.01,71774,dbd**,언덕이긴하지만 뷰도좋고 해수욕장과 걸어서 5분정도거리에요,3.5,0
2020.10.27,71774,고객님,사장님 넘 친절하시고 편하게 쉬다왔습니다,4.3,1
2020.04.22,71774,sou**,바다가 보이는 바베큐가 인상적입니다,4.3,0
2020.06.04,71774,jul**,주인분들은 너무 친절하셔서 좋았어요,3.5,1
2023.09.13,76855,lsr**,"딸이 혼여행을 한다고 해서 잡아준곳
전화한번드렸더니 사장님께서 꼼꼼하게 챙겨주시고 사람냄새나는곳입니다 
씽크대에 수세미 행주 손닦을수건을 준비하시고 분리수거장에 위생장갑 물티슈등을 준비하실정도로 꼼꼼한곳임
웰컴드링크로 아아도 주시고 최고였답니다",5.0,0
2023.01.12,76855,hr0**,사장님께서 가본 숙박업소중에 가장 친절하시고 설명을 너무 꼼꼼히 잘해주셔서 감동적이었어요. 카페도 아기자기 예쁘게 꾸며놓으셔서 분위기 좋았고 방은 엄청 부지런하게 청소하신 티가 났어요. 침구까지 호텔처럼 깨끗해서 꼭 다시 가고 싶어요,4.5,0
2022.07.19,76855,myk**,사장님 너무 친절하시고  정말 깔끔하고  좋습니다.   세심하고  꼼꼼하게  정말 잘 관리하시는 것 같아요. 이제 매번  수에뇨에 갈 것 같아요. 사장님 잘 놀다 갑니다. 감사했습니다.,5.0,0
2022.01.24,76855,wld**,"사장님너무친절하시고 방청소가너무잘되어있었어요
특히화장실은 어지간한호텔보다더번쩍번쩍해요
치약비누가새걸로준비되어있어서
정말깜짝놀랐어요
 커피도 마음대로먹을수있는것도 너무좋았고
모든시설이깔끔해서 불만1도없이 아주잘쉬다왔어요
급하게하루휴가가생겨서 별기대없이가볍게떠난건데 쉬는공간이 너무만족스러워 아주좋은여행이된것같아요
다시이런급휴가에묵을펜션이필요할때 또올게요!",4.8,3
2021.10.09,76855,jyt**,"일단! 사장님이 너무너무너무 친절하십니다!
주의사항 꼼꼼하게 하나하나 설명해주시고, 필요한부분도 잘 챙겨주셔요
사장님이 추천해주신 육개장 너무 좋았어요 :)

시설이 굉장히 깔끔합니다!
사장님 혼자서 정리하시는데 엄청 깨끗해요
방도 생각보다 넓어서 좋았습니다
바닥에서 500피스 퍼즐도 맞췄네요ㅎㅎ

위치가 여기도 가고 저기도 가기에 아주 좋습니다!
동막해변도 가깝고 윗쪽으로 가기에도 멀지않은 좋은 위치입니다! 근처 좋은카페, 맛있는 수제버거집도 있습니다ㅎㅎ

펜션에 고양이가 많아요 
너무 귀여워요!ㅋㅋㅋ

강화도여행=수에뇨
강추입니다!!!
강화도 놀러갈때 또 갈게요~~~",5.0,3
2020.11.08,76855,gre**,"사장님 진짜 최고 펜션도 너무 좋고 사장님도 너무너무 친절하십니다 다음에 강화도 갈 일 있으면 또 여기 머물고 싶어요 펜션에 애정이 있으신 게 눈에 보이고, 체크인 체크아웃 전부 사장님이 너무 친절하게 해 주셔서 좋았습니다. 펜션 곳곳의 큐트뽀짝하고 감성 넘치는 소품들도 너무 좋았고 개인 바베큐!!!! 진짜 너무너무 좋았어요!! 바베큐 할 때는 펜션 밖에 고양이들이 오밀조밀 있어서 구경하는 맛도 있었어요 강화도 여행 계획 중이시라면 무조건 가세요 무조건이요",5.0,2
2020.09.16,76855,kkk**,"페ㄴ션가면 수세미, 행주를 젤 중요하게 생각하는데 다 새거로 바꿔주시더라구여ㅠㅠㅠ 감동 ,, 여행좋아해서 한 두달에 한번은 펜션가는대 수세미랑 행주 포함해서 숙소 깔끔해서 또 가고싶다고 생각이 든건 여기가 두번째네요 !!! 새심하게 하나하나 다 설명해주시고 편안하게 해주셔서 너무 좋았어요!! 그리고 사장님 엄청 유쾌하세요 :) ",5.0,1
2020.08.25,76855,ahw**,친절하게 하나하나 설명해주시고 펜션&카페로 되어있어서 카페를 운영하시는줄 알았더니 무료제공커피더라구요. 얼음에 커피까지 가져갔는데 가서 직접 만들어드셔도 되더라구요. (조미료등도 다양하게 구비되어있었어요.) 우선 식기와 조리기구/수건들이 깨끗해서 만족스러웠습니다.,4.8,0
2020.07.28,76855,nic**,"침구에서 호텔 냄새가 났어요~ㅋㅋ 
청결한 냄새라 너무 맘에 들었네요~^^
아이들이 놀기에 딱 좋은 수영장이 청소 상태도 너무 좋아 벌레 무서워하는 우리 딸이 맘놓고 놀았어요~ 편안하게 쉴 수 있는 카페도 맘에 들구요~ 실물은 약간의 세월의 흔적이 있지만 그것도 멋스럽구요~ 사진이 정말 이쁘게 나오는 곳이에요~ 강화에 가게 되면 재방문 의사 있어요~ ",4.5,0
2023.07.13,76855,ber**,사장님이 친절하시게 잘 설명해주시고 모든면에서 좋았습니다 다만 화장실은 조금 손볼것들이 있는데 그거만 하시면 너무좋습니다. 감사합니다.,4.3,0
2022.09.03,76855,pow**,"건물외관은 오래된 흔적이
보였어요
내부는 관리가 잘되어 있고
먼지하나없이 깔끔했어요
거실에 쇼파가 없어서 조금
불편했구요
멀리갯벌이 보이고
고즈넉하고 한적하게쉬긴 좋아요
무료까페도 넘 좋았어요",4.3,0
2020.08.18,76855,kim**,"사장님도 너무 친절하시고 에어컨도 체크인 전에 미리 틀어주셔서 땀 한방울 안흘렸네요 ㅎㅎ 방도 깨끗하고 온수도 잘 나와서 편하게 잘 놀고 갑니당~ 커피머신(얼음도 있음),바베큐용 기본 조미료 구비돼있고, 수영장은 어른이 놀기엔 크기가 작고 얕은데 깨끗하게 관리 잘 되어 있어요~",4.3,0
2020.07.03,76855,gas**,"방도 깨끗하고 수영장도 잘 관리하고 계셨어요.
방에 붙은 테라스 바베큐장은 방으로 연기가 들어갈까봐 노심초사 걱정 하면서 먹었어요.극본적인 대책이 필요할것 같아요.
나머지는 너무 잘 쉬다 왔어요~",3.8,0
2023.01.18,76855,pri**,"세심하게 설명해주시고 방안온도도 따뜻하게  맞춰주셔서 좋았어요 ~ 방은 청결하고 깔끔해요!
아침에는  커피  서비스로 주셨어요👍",4.8,0
2022.12.27,76855,vy8**,"건물은 오래되었지만 관리을 잘하셔서 깨끗했습니다.
침구며,식기며 화장실도 청결합니다.
최고의 운영자 마인드십니다.
재방문의사 100%입니다.",5.0,0
2022.11.03,76855,kms**,"침구도 흔들림없어 잘잤고 깨끗한 시설이 맘에들었어요
개별 바베큐장 의자가 좀 작고낮아서 불변한거 빼곤 만족했습니다
무엇보다 사장님 친절하심에 감사합니다",4.8,0
2022.07.05,76855,mam**,침대가 두 곳에 분리되어있어서 편리했습니다. 피아노를 칠 수 있어서 좋았습니다. 개별 바베큐 편리했습니다. 잘때 추워서 어려움이 있었습니다. 가격이 합리적입니다.,4.8,0
2022.05.21,76855,619**,"사장님이 너무 친절하시고 꼼꼼히 안내해 주셔서 즐거운 여행 이었습니다.
방도 깔끔하고, 바베큐랑 카페는 꼬오옥 이용하시면 좋아요 ^^",4.8,1
2021.06.19,76855,gml**,"펜션 넘 예쁘고 사장님께서 친절하셔서 
좋았습니다ㅎㅎ!!! 고양이들도 너무 귀여웠어요~~
다음에 강화도 놀러가게 되면 또 방문하겠습니다~~",5.0,0
2021.05.22,76855,ghd**,설명도 친절히해주시고 아침에 커피내리러갔는데 사장님마주쳐서 해주셨어용 ㅋㅋ 조용하고 편안하게 잘쉬다왔어요 다음에도 또 이용할거같아요!,4.8,0
