reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.08.29,73443,mis**,"역이랑 가까움(역건너편 엑스포를 가로질러서
소노캄쪽으로 걸어가다보면 케이블카 타는곳 있고 그옆 짧은 터널을 지나면 낭만포차거리 
바로앞에 펜션있음)/택시타도 겁나가까움

펜션 외부-펜션 및 코노 오락실 편의점 있어서 급한거 필요하거나 할때 구매하기 쉬움 놀거리많음
마지막 인생네컷도있음 낭만포차 30초거리

펜션 내부-깔끔 바닥이 카펫이라서 아이가 음식 흘릴까봐 조마조마ㅋㅋ
화장실 건식 세면 화장실 샤워실분리
뜨거운물 잘나옴 헤어드라이기 매직고데기있음
샴푸바디린스 있음 수건도 인원수에 맞게 구비되어있고 필요하면 더주심
벽장 냉장고 많이 작지않지만 대략 아주작은 원룸에서 쓰는 냉장냉동분리형 냉장고
전자랜지  밥솥 커피포드 깔끔하게 있음
포차 앞이라서 사람도 많고 씨끄러울듯하지만
문닫으면 하나도 안들림

펜션에서 여수 맛집 놀거리 가까운거리에 포진되어있음 택시비 왕복할만한 거리임

직원들 눈마주칠때마다 인사하심 친절함
(살짝 부담스럽기도ㅋㅋ)

3인가족 개인물품 챙겨서 기차타고 뚜벅이 여행
너무 잘놀고 잘쉬고 잘먹고 여행 잘했음

참고~ 카카오택시보다 지역콜택잡기가 더 빠르고 좋음(역 택시승강장에 번호 붙어있음)",5.0,0
2023.08.12,73443,arp**,"가고싶은곳이 주변에 다있어서 이동하기 편했어요
방도 깨끗하고  직원분들도 친절하고 다 좋았어요",5.0,0
2023.06.22,73443,sas**,"2번째 방문입니다.
그전에 같이 5층 뷰맛집 👍
케이블카 지나가고 다리조명과 포차거리가 한눈에 보이죠
위치가 너무 좋아요
꼭 방문추천",4.5,0
2022.10.26,73443,lgs**,"침구 깨끗하고 여수밤바다에서 걸어서 4분정도 
동네도 깨끗하서 대만족합니다
204호는 뷰가 건물로 막혀서 없었지만 대신 넓음을 택해서 널찍하게 사용했어요
시설다 깨끗하고 좋았음요~",5.0,0
2021.07.01,73443,jon**,깨끗하고 방도 넓고 무엇보다 접근성이 너무 좋아서 뚜벅이 여행자들에겐 교통비를 완전 아낄 수 있었어요 정말 유졍한 카페 포차거리 이순신 거리 거의 걸어가거나 택시를 타도 기본요금 택시기사님들도 숙소 한번 잘잡았가도 칭찬하셨어요 여수를 또 가게 된다면 지뜨입니다 여러분!!,5.0,0
2021.06.14,73443,hon**,침구도 깨끗하고 전체적으로 만족했습니다.한가지 아쉬웠던건 옆방 테라스에서 남녀가 저녁 12시가 넘었는데도 음악크게 틀어놓고 생목으로 고래고래 고성방가 하는통에 잠을 잘 수가 없었던게 가장큰 아쉬움이었음.객실내 인터폰이 없어 카운터와 연결을 할 수 없어 답답했음. 각 룸마다 인터폰 설치해놓으면 좀더 편할것같네요.,4.8,4
2021.06.07,73443,iri**,"아이들이 있어서 301호, 306호 예약하여 1박 지냈습니다~
직원분들의 세심한 배려가 있어서 편하게 머물다 왔어요~ 
지뜨펜션이 낭만포차 거리 바로 앞인데, 방음이 잘 되어 있어서 소음 느끼지 못하고 잘 잤습니다~~~

건의 사항이 있다면...
1. 욕실과 화장실 들어가는 미닫이 문.. 원래 아랫부분은 고정이 안 되는 건가요? 자녀 동반 숙박이면 해당 사항을 알려주면 좋을 듯 해요~~

2. 온돌방이었는데, 6월이라 그런지 난방이 안 되더라구요.. 부모님이 살짝 아쉬워 하셨네요^^;

건의 사항은 굳이 작성을 안 해도 되는내용인데, 더욱 번성하시길 바라는 마음에 작성하였습니다~~

덕분에 잘 쉬다 왔어요^^",5.0,2
2021.02.14,73443,pjh**,"방, 시설은 깨끗하고 좋았어요. 단지 스파풀 이용하는데 이물질이...물에서 흘러 온건지 풀안에 있던건지...애기랑 풀에서 놀려구 같는데 이물질이 생각보다 너무 많아서 결국 금방 나왓네요...5만원 추가 요금주고 이용한거치곤 좀 아깝다는 생각도 들구요..그거 제외하곤 만족합니다.",4.8,2
2020.12.15,73443,fou**,"조용히 잘 쉬다갑니다
위치너무 좋았구요 방넓구요
배달이나 이런것도 잘되요
날씨가 추워져 새벽에 추워서 말씀드렸더니
중앙난방이라고 하시더라구요
살짝추웠다고하니 새벽에도 따뜻하게 난방틀어주셔서
잘잤습니다
연박하면서 불편함 없이 쉬었다갔습니다",5.0,1
2020.10.21,73443,rih**,"우ㅣ치, 시설 다 좋았습니다! 직원분들도 친절하셨구요. 
감사합니다. 다만 테이블에 오래 앉아있으면 부엌쪽에서 하수구냄새?? 가 올라오는 것 같았어요. 이 부분만 신경써 주시면 좋을 것 같습니다! 잘 머물다 갑니다 ^^",5.0,0
