reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.08.27,82345,bux**,"화장실이 매우 넓어서 좋았다.
1층에 헛개차랑 탄산음료도 준비되어있고
방에 스타일러까지 있어서 좋았음
고층이라 덕진공원이 보였는데 창이 크진않아도
만족스러운 뷰였음",5.0,0
2021.06.24,82345,iys**,"만족만족 대만족
시설 모두 너무 깨끗하고 직원분도 친절했어요
다음 전주여행을 온다면 다시 이용할 의향 100%입니다
다음엔 욕조있는 방도 예약해봐야징
주차공간은 너무 밤늦게 가지 않으면 널널히 주차 가능할 것 같아요! 가격대비 시설 최고인 숙소입니다 
잘 머물다 갑니당!!",5.0,0
2021.04.12,82345,cri**,룸컨디션 정말 좋았어요. 어메너티도 향기 좋아서 쓸때 거북함 없이 편하게 사용했어요. 물품 전화로 요청드렸는데 시끄러워서 잘 안들려가지구  자꾸 제가 되물었는데도 짜증내는 기색도 없이 물건 준비해주시고 커피 뽑아마시다가 실수했는데도 친절히 알려주셔서 너무 죄송하고 감사했어요. 정말 잘 쉬다 갔습니다!!,4.8,0
2023.07.28,82345,kak**,"욕조가 있어서 편하게 잘 쉬었어요!

가족여행인데 무료 업그레이드해주셔서
더더더 좋았답니다!

덕진공원이 근처에 있어서 산책하기 좋아요!",4.3,0
2023.06.04,82345,min**,"브라운도트 여러군데 지점도 있고 좋은 후기들 믿고 갔는데 다녀본 숙소 중 최악이었습니다. 들어가자마자 바닥에 머리카락이랑 먼지랑 보여서 찜찜, 그래서 슬리퍼를 신으려하니 오랜 사용감이 묻어나는 슬리퍼라 또 찜찜한 기분으로 들어갔는데, 세안하려니 세면대 아래로 물이새서 다리 다 젖고, 화장실 사용하려니 변기바로 앞에 있는 문은 투명인데 커튼칠것도 없어서 정신나가는줄 알았네요. 전등 두개는 계속 깜빡깜빡거려서 켜놓을 수도 없었습니다. 룸변경 요청했는데 남는 방이 없어서 안된다더군요. 어플보니 밤 11시 넘는 시간에 방 7개는 넘게 남아있던데요..",1.8,0
2021.10.30,82345,shi**,"직원분도 친절하시고,
침구도 깨끗하고 너무좋았어요!!!
들어갈때 약간 담배냄새가 나긴했지만 
 그래도 너무 좋았습니다!!
다음에도 또 이용할 예정입니당!!",5.0,1
2023.07.28,82345,kak**,"가족여행이었는데
무료로 방도 업그레이드 해주셔서 편하게 쉬다 왔어요!
스타일러 덕분에 소나기에 젖은 옷도 잘 말렸어요!",4.3,0
2021.06.26,82345,777**,"침구에시큼힌냄새때문에잠을 못잤어요.앞타임사람들나가자마자 욕실물기마르지도않앗는데..입실
 방음안되고옆방별별소리다들리고최고기분나빳어요
다시는안가요",3.8,0
2021.05.09,82345,dlw**,깨끗하고 욕조도 커서 좋았어요 근데 목욕하려고 배쓰밤 사갔는데 욕조 물이 새서 잘 안 받아졌어요ㅠㅠ 그거 빼면 다 좋았어요!,5.0,0
2021.01.28,82345,bat**,"룸컨디션 좋았구
브라우도트가 전주에 들어와서 좋으네요
가성비도 좋고
따뜻한곳에서
잘 이용하였습니다",5.0,0
2022.02.22,82345,doo**,"쇼파에 머리카락 깍은 손톱 
전반적으로 내부 인테리어는 예뻤지만
위생에 신경 써야 될 것 같아요",4.0,0
2022.08.29,82345,ff5**,"3박 했는데 일회용품과 청소를 프론트에 매일 얘기해서 처리하는 게 불편했어요
출장 숙박 분들은 참고하세",3.8,0
2023.07.22,82345,ror**,깨끗하고 쾌적했어서 만족합니다,5.0,0
2023.06.28,82345,kyu**,침구가 깨끗해서 잘 잤어요,5.0,0
2023.06.20,82345,lgj**,"너무 좋았어요
편하게 잘 잤어요",5.0,0
2022.07.31,82345,ccy**,"직원이 너무너무 친절하십니다!
컨디션도 좋고,, 완벽!",5.0,0
2021.06.24,82345,kim**,"직원분친절하시고 침구도 괜찮았습니다
단 이불에서 좀 꿉꿉한 냄새 빼고는 다 좋았습니다",5.0,0
2021.06.22,82345,blu**,정말 깨끗해서 만족도가 높았습니다. 무조건 다음번에도 또 이용할 것 같아요!,4.5,0
2023.08.30,82345,okk**,직원이 너무 불친절했어요.,3.0,0
2023.03.22,82345,tit**,깔끔하고 괜찮았어요..,4.5,0
2022.10.17,82345,ksi**,만족합니다 다음에 또 이용할께요,5.0,0
2022.08.05,82345,cyw**,굿~~~~~^^^^^^,5.0,0
2022.05.31,82345,seo**,깨끗하고 좋아요.만족합니다,5.0,0
2022.02.13,82345,dlw**,욕조 물이 새서 아쉬운거 빼곤 다 좋았어요,5.0,0
2021.12.18,82345,dlw**,방도 이쁘고 깨끗해서 좋아요,5.0,0
2021.08.26,82345,art**,깨끗하고 좋아요^^-,5.0,0
2021.08.05,82345,pin**,침대크기 넉넉해서 가족과 함께 머물기 좋았어요!,5.0,0
2021.05.28,82345,ehd**,"네좋아요
ㅇㅇ
ㅇ
ㅇ
ㅇ
ㅇ",5.0,0
2021.04.27,82345,xun**,"잘 자고 갑니다.
",5.0,0
2021.04.07,82345,eag**,욕실이 넓고 환해서 좋았어요,4.5,0
2021.04.07,82345,net**,너무 깨끗하고 좋았습니다,5.0,0
2022.04.11,82345,god**,자주가는 곳이라 깨끗하고 좋아요,4.0,0
2021.10.26,82345,www**,편안하게 잘 쉬었습니다.,4.3,0
2021.06.19,82345,hye**,방은 괜찮았는데 냄새가 너무많이났어요 ㅠㅠㅜ 침구에서 쉰내나서 힘들엇네여 ㅠㅜ,3.0,0
2021.03.28,82345,zor**,대체적으로 만족합니다. 방음이 아쉽네요,4.0,0
2021.03.23,82345,ojs**,굿~~~~~~~~~,4.0,0
2021.03.03,82345,777**,위치도좋고 시설도넓고 깨끗해요.침구도좋아요,4.3,0
2022.08.09,82345,sg9**,세면대가 좀 막혀있어서 배수가 잘 안되었어요.,3.5,0
2022.09.25,82345,cyw**,"인근중 가장 좋지만

다시는 안감....",3.3,0
2023.08.07,68002,sj8**,축구경기보고갓는데 ic랑은가까우나 화장실곰팡이ㅜ변기수압약하고ㅜ티도안켜지고 드라이기도 고장 에어컨소리 커서 필터씻어다주셧는데 그래도크고ㅡㅜ드라이교환해주셧고 티비도손봐주셔서 잘쉬다갑니다,3.3,0
2023.04.18,68002,nan**,"방의 색이 노란색이라서 예뻐보이기도
했지만....흰색벽에 익숙한 저에겐 좀 익숙해 지지 않는 분위기였어요. 
방이 좀 춥다는 생각이 들었는데  침대에 전기장판이 준비되어 있어서 따뜻하게 잘수
있었어요. 
방에 설치된 텔레비젼 화질이 참 좋아서 
영화도 즐겁게 보았습니다.",4.0,0
2023.10.16,68002,com**,"모든게 적당합니다
쉬는데 불편함이 없어요",5.0,0
2023.09.14,68002,com**,"침구가 깨끗하며 욕실도 깨끗해요
애들 친구들 오면 가끔 쉬는데 편하니 좋네요",5.0,0
2022.11.05,68002,san**,화장실에 들어갔는데 비누에 알 수 없는 털들이 붙어 있어서 위생이 조금 걱정됐습니다... 늦은 시간이고 타임특가로 받은 방이라 바꾸지는 못했을 것 같아 그냥 잤지만 침대도 앉으니까 자꾸 쏠리고 해서 조금 불편했습니다,2.3,0
2022.06.12,68002,bab**,"한옥스타일 방을 주셨는데 아늑하니 좋았어요
사장님도 친절하시구요",3.8,0
2023.11.06,79716,415**,"성인 4명 가족여행다녀왔습니다
한옥마을 관광과 한옥뷰 보려고 라한호텔 묵었습니다
한창 빈대 얘기 나오니 무서웠는데 빈대는 없었고
직원분들 친절하시고 체크인할때 주차시간좀걸렸습니다
한옥마을 자체가 수압이 별로인것같은데
1층로비 화장실은 수압이 쌔고 8층은 조금 약한편 같아요
잘 놀다 갑니다!",4.5,0
2023.10.16,79716,ohs**,"침구는 깨끗했고 방향제 너무 강하다는 의견
있었는데 숲속의 향이랄까?!  괜찮았어요.
위치적으로는 출장으로 야간에 도착했는데 호텔 뒤편이 한옥마을이라서 혼자 돌아보는 재미도 쏠쏠하니 좋았어요.
전주KTX역에서 택시로 10분정도
야간이라서 안 막힌것도 있겠죠?
대중교통 접근성도 좋고 한옥마을 공영
주차장도 근접해있고 편합니다.",5.0,0
2023.10.16,79716,mg9**,온돌방 이였는데.  요가. 너무 폭신한 감도 없고 맨 바닥에서. 그냥 누워. 있는것. 같앗어요. ㅜㅜ. 베겼어요.  약간 폭신한 메트리스라고. 생각하고. 온돌을 선택. 한거였는데.  잘못. 생각. 했나보네요. 요가.  조금 이라도. 폭신. 했더라면 훨씬 좋앗을 것을요.     조식은. 좋앗네요~~,3.5,0
