reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.24,86264,pk1**,5개월 ? 만에 다시 방문인데 공항이랑 가까워서 좋구요 주차가 항상 고민이지만 .. 그럼에도 숙소 접근성이나 이런거는 좋았습니다,4.5,0
2023.10.10,86264,lth**,"방 컨디션과 뷰가 좋고 괜찮았습니다 
주차 시설이 타워라 조금 불편한데 길가에 대놓긴 했는데
주말 공휴일이라 길가에 차 대놓고 이용해서 
할만했습니다",4.8,0
2023.10.04,86264,kob**,"처음에 배정된 방이 화장실 물이 잘안내려가서 매니저님께 방을 교체해달라고 말씀드렸는데 빠르게 조치해주셔서 편안하게 지낼수있었습니다.
주거공간과 함께 되어 있긴했지만 사용하는데 별문제는 없었고 특히 시내와 접근성이 좋았습니다.",4.5,0
2023.09.22,86264,mot**,정말 깔끔 하고 예뻤어요 위치도 제주시내에 있어서 주변 맛집도 많고 돌아다니기도 편했어요 다만 주차장이 기계식이라서 늦은시간이나 사람들 몰리는 시간에는 주차가 시간이 좀 걸렸어요 그래도 참 편안하고 좋은 숙소였습니다!,4.8,0
2023.08.20,86264,dsd**,방 깔끔하고 테라스 이용하기도 너무 좋게 잘 되어있었어요 공항 근처라 여기저기 다니기에도 위치 좋구요 ! 다만 하수구냄새 이야기가 있던데 많이 심해요 ㅠㅠ 화장실 환풍기 계속 켜놓고 문도 닫아놨는데도 계속 나더라구요 그것만 좀 어떻게 처리하면 아주 좋은 숙고입니다,4.3,1
2023.05.28,86264,mi0**,"공항에서 가깝고 주변에 먹을곳도 있구요
무엇보다 깨끗하고 너무 좋았어요.
관리를 잘하고 불편한점 있으면 잘 처리해주려고 하구요~
아쉬운 점은 주차장이예요.
한참 대기해야 하고 주차타워인데
suv는 아예 안되더라구요.",5.0,4
2023.05.22,86264,ajt**,"접근성 예술 방음 완벽해서 외부소리 하나도안들리고 비대면 체크인이라 빠르고편합니다.

주차는조금불편하지만 주변에 먹자골목도 가깝고 동문시장에서도 드림타워에서도 가까워서 위치선정 최고입니다.",4.8,1
2023.09.13,86264,sor**,"기계식 주차여서 전기차는 주차공간이없으면 골목에 주차를 해야해서 주차가 좀 불편했지만
그외 전체적으러 깔끔하고 만족했습니다.
다음여행에도 재방문 예정입니다^^",4.0,0
2023.07.02,86264,pk1**,"침구가 푹신해서 좋았고 방도 깔끔했어요
테라스가 잘 꾸며져 있어서 좋았어요

주차공간이 매우 적어서 다른 곳에서 주차하고 갈 경우 좀 걸어야합니다 (5분 ~ 10분 기본 소요)
저희는 짐이 많아서 좀 불편했어요

엘레베이터가 두대라 11시 퇴실 10분전부터 난리입니다. 두대인데 다들 짐이 많아 높은 층수에서부터 사람들이 많기 때문에 엘레베이터를 여러번 보내고 오래 기다리셔야 1층으로 갈 수 있습니다.
(10층 이용했는데 7번,8번 보냈고 와중에 엘레베이터 하나는 고장 났다가 10분뒤 다시 움직였습니다)",4.0,2
2023.10.05,86264,rod**,"근접성은 좋았으나,
엘리베이터가 1대만 있어서 20분정도 대기해야했던 상황에.. 너무 당황스러웠어요.

느긋하다면 추천드리고 가족보다는 연인이나 친구와의 여행에 적합한 위치에요.",2.5,0
2023.09.07,86264,blu**,위치도 좋고 비대면 체크인아웃 기계식주차장도 이용편리했습니다. 연박하려다가 매진이라 못했네요.,5.0,0
2023.05.19,86264,syl**,"침구 깔끔하고 잠자기 편했어요.
오히려 집 같은 아늑함이 있고
편의점 가깝고
숙소에서 잠만 자고 바쁜 일정에는 딱 맞춤 입니다.",5.0,0
