reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.02.09,70466,viv**,"방도 크고 깨끗하고 화장실 샤워실 분리되어있고 
밝고 밤늦게 체크인했는데 직원분 친절하시고 전체적으로 만족스럽습니다. 
침대가 편한건 아니지만 특급호텔은 아니니깐요~
위치가 유흥가라서 좀 그런데 저렴한가격에 간단한 조식까지 챙겨주시고 이만하면 가격이상하는거같아요~ 하룻밤 정말 잘 쉬고가요.",4.5,0
2021.12.09,70466,tjs**,"천안 서부역에서 도보로 이동 가능해서 접근성이 좋습니다.
침구류나 욕실도 청결합니다.
프론트 직원분들도 친절하시구요.

TV 모뎀이 뒷편에 붙어있는 지 리모컨으로 작동이 쉽지 않아 불편했습니다.",5.0,0
2023.10.20,70466,bon**,"간단한 조식도 너무 좋았습니다
잘 쉬다가 가요",5.0,0
2023.07.31,70466,mel**,"호텔자체는 비즈니스호텔이라  나쁘지않았지만 주위환경이 좀 그랫어요
주점에 마사지..
아이들과 가기에는 비추",4.3,0
2021.02.01,70466,sky**,프론트에 직원이 없어 대신근무하는 분이 예약자 확인도 못하고~첨부터 3명 예약했는데 전화와서 한명추가요금 내라하고~~근태가 너무 미흡했음,3.8,0
2020.11.21,70466,dla**,"여직원분 상냥하고 방도크고 좋은데
방 온도 조절이안되는거 , 침대베게 너무 높아서 모가지아파서 못배요. 그냥 배게없이 잘자는사람들에게 추천
",3.5,0
2019.08.15,70466,whk**,"여름휴가!
갑작스런 가족여행에 방이 있는것도 다행 이었지만
경제적인 가격에 조식까지~
만족스런 여행 이었습니다.",5.0,0
2023.05.28,70466,soa**,방이 깨끗해서 좋았어요,5.0,0
2022.11.21,70466,sir**,"직원분들너무 친절하시고 방도 넓고좋았어요
천안 여행갈때 또 갈게요",4.8,0
2021.10.16,70466,ole**,"깔끔한 객실! 쾌적한 침구! 피로를 풀 수 있는 욕조까지!
정말 좋았습니다",5.0,0
2021.09.28,70466,seo**,전날 숙박했던 8만원짜리 호텔보다 좋았어요. 너무너무 깨끗해서 좋았어요,4.8,0
2019.10.07,70466,sky**,"침대는 좀 딱딱했지만
화장실 욕실이 따로라 편했네요
방도 깨끗하고
조식도 괜찮았어요",5.0,0
2023.02.26,70466,jop**,"방이너무넓고,깨끗했어 가족모두잘쉬었다갑니다",5.0,0
2022.07.06,70466,wan**,너무 친절하시고 깨끗해요,5.0,1
2022.06.01,70466,ssa**,룸컨디션 가성비 좋았습니다,5.0,0
2022.01.30,70466,tbh**,침구도깔끔하고 응대하는직원도 친절했어요!,5.0,0
2022.01.26,70466,dua**,깔끔하고 분위기도 좋고 친절하고 다 좋았습니다,5.0,0
2021.11.30,70466,vyx**,친절해서 좋아ㅏㅆ어요!,5.0,0
2021.07.04,70466,ban**,깨끗하고깔끔한관광호텔,4.8,0
2021.04.10,70466,kan**,"깔끔하고 좋아요
친절합니다",4.5,0
2019.12.22,70466,sil**,크고 좋았습니다 추웠어툐,4.8,0
2019.10.05,70466,uzi**,사고..깨끗..조식까지..,5.0,0
2019.10.05,70466,uzi**,사고 깨끗했어요..조식까지..,4.8,0
2019.08.04,70466,sto**,저렴하고 넓어서 좋아요,5.0,0
2021.11.30,70466,dud**,방도 넓고 깨끗했어요 직원분들도 친철하시고,4.0,0
2020.01.23,70466,khg**,가격대비 가성비는있으나 오래되어서그런지  객실에서 냄새가나요,3.3,0
2021.09.21,70466,shy**,근처에 환락가고 밤에 여자가 돌아다니기엔 조금 무섭더라고요..,2.3,0
2021.01.14,70466,nat**,"없는게 많고 난방도 별로,  직원분들은 친절하세요.천안역에서 택시타셔야할듯",2.8,0
2019.07.29,70466,c35**,정말 실망했습니다. 베개에 머리카락도 많고 청소를제대로안하는거같네요,1.0,0
2019.10.07,70466,coc**,편안하게 잘 쉬었습니다,3.0,0
2022.02.26,70466,yjh**,담배냄새 가득. 모텔이지 호텔 아님,1.5,0
2023.10.31,73436,sso**,"여름 휴가에 이어 재방문했어요
시설도 깨끗하고 잠자리도 편안해서 만족합니다
워터파크가 있어 아이동반 여행하기 너무 좋아요
다만 취사형룸임에도 전자레인지가 없습니다
아기 동반이었기 때문에 아기밥 때문에 취사형을 선택했는데 전자레인지가 없으니 상당히 불편하더군요
시설에는 전반적으로 만족하지만 다음 이용시에는 클린룸을 예약할 것 같네요",4.3,0
2023.08.08,73436,wna**,"너무좋아요 저번에 갔다가 좋아서 재방문 했어요
시설이 잘 되어 있어서 좋았습니다~
수영장뷰 좋았는데 낮엔 파도풀 소리가 엄청크게 들리네요~~
그래도 너무 만족하고 왔어요~
다음에 또 재방문 할것같아요~",4.8,0
