reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.10.02,69083,rhd**,로얄 프리미엄 룸은 첨 써보는데 넓고 커플 피시도 있고 스파도 있어서 넘 잘 쓰고 가요~ 근데 키보드에 먼지가 넘 많고 세면대랑 욕실 수압이 넘 약해서 씻기 힘들었어요ㅠ 세면대도 물 틀면 밖으로 다 튀어서 살살 틀어냐했고 수도꼭지 부분에 물때가 껴서 그 부분 좀 꼼꼼하게 청소해주시면 좋을것 같아요 직원분들은 되게 친절하셔서 기분좋게 있다가 갑니다! 입실시간 늦는데도 빨리 입실 할 수 있게 도와주셔서 편하게 짐놓고 돌아다녔네요 다음에도 또 올게요,4.3,0
2022.05.08,69083,eli**,"청주 시내권에서 실내에 온수수영장 있는것만해도 너어무감사해요ㅎ

물도 자유롭게 받아서 계속 사용할수있고 
온수사용에 추가요금도 없고요!

풀빌라비교했을때 값도 저렴하고 
시내권에 배달음식 시킬수있고,
스낵바가 있어서 꼬마가 너무좋아해요

pc도 있어서 물 받고, 퇴실 준비할동안 게임도 할수있어서 준비,정리하는데 수월해요!

2번째 예약한방인데
첫번째방문했을때 스낵바에 뿅가서 계속 호텔인카페에 가자고 노래불렀어요ㅎㅎ

꼬마가 있는 경우
어린이욕실화 챙겨가면 좋을것같아요",4.8,0
2023.10.01,69083,sji**,투인침대실을  사용했어요..청결하고  침대도  적당히  쿠션이  있어 편안하게  쉬다왔어요,4.0,0
2023.03.13,69083,ghd**,데스크 직원분들도 착하시고 방도 깨끗해서 좋았는데 체크아웃할때 별관 엘레베이터 앞 스테프온리 같은 방 안에서 남자직원 한분이 문 열어놓고 문틀에 앉으셔서 담배를 피우시며 계속 무섭게 쳐다보시더라구요 다 좋았는데 아쉽네요..ㅠ,4.3,2
2021.09.20,69083,hoj**,다른건 몰라도 가이드북쪽에 과자부스러기가 있다는거 자체가 신경써야할 부분이라고 생각하네요.아무리 하이퀄리티서비스가 아니더라도 이건 바퀴벌레가 생길 수도 있는 부분이기때문에 신경써주셨으면 좋겠어요.,3.0,0
2023.01.16,69083,goo**,"부담스럽지 않은 숙박비가 장점이고, 
청소가...  티비 뒷면이 훤히 보임에도 먼지가... 

그냥 그냥 만족한 가격대비 좋았던 것 같습니다.",3.5,0
2020.09.16,69083,shj**,"예약 하고 저녁 9시에 입실 하려고 하니 5,000원
추가 요금 요구 해서 지불 하고 입실",4.0,0
2021.01.25,69083,eun**,전반적으로 깨끗해요.  키보드에 먼지가 너무 많고 샷시가 오래돼서 잘 때 추워요ㅠㅠ ....,3.8,2
2023.07.17,69083,wlt**,"샤워기엔 곰팡이가 심각
도어락은 고장 ;; 꽉잡고 몇초있어야 겨우잠김
화장실 쓰레기통 안치워줌;;",2.0,0
2020.12.15,69083,dor**,항상 만족하는 곳이예요^^  직원분들이 친절하셔서 더 기분좋아지는 곳인것같아요 ~,5.0,0
2020.08.28,69083,ing**,"코로나19로인해 어디멀리 갈수없고 사람없는곳 찾다가 알게된곳이에요
너무좋아요",5.0,0
2020.05.13,69083,hom**,"시설도 깨끗하고 인테리어도 괜찮아요 그리고 침대가 푹신푹신하고 좋아요 ㅎㅎ!!
",5.0,0
2020.04.24,69083,jin**,지ㄴ짜 또갈거예요!!!!!! 너무 좋아여어어어추천추천추천!!!,5.0,0
2020.04.04,69083,aie**,침구도 깨끗하고 시설도 대박입니다. 커피랑 슬러쉬도 짱 맛있어요~ 다음에 또 갈게요,5.0,0
2022.11.25,69083,tjs**,"화장실에 세면대 파이프가 터졌는지 양치, 세수한 물이 그대로 밑으로 나와 발목까지 엄청 젖습니다..",3.0,0
2020.03.03,69083,why**,코로나때문에 영화 보고싶어서 일부러 티비큰 이곳으로 찾아왔어용 ㅎ 잘 쉬다 갑니당,4.0,0
2023.06.10,69083,yon**,아..별관은..그 닥.,3.5,0
2023.04.25,69083,yeo**,ㅈㅎ았어요 개끗하고 또,5.0,0
2023.02.15,69083,ho0**,굿굿굿굿구수구구구구ㅜ구구구,5.0,0
2022.07.21,69083,qja**,정말 넓고 분위기도 밝고 좋았어요,5.0,0
2021.05.03,69083,per**,ㅡ늘 잘 이용하고 있습니다,4.5,0
2021.02.07,69083,fam**,모든부분이 청결했고 좋아요,4.8,0
2020.11.17,69083,hey**,깨끗하고 좋아요 자주이용해요,5.0,0
2020.11.17,69083,jsj**,애용하는 곳입니다 ,5.0,0
2020.11.16,69083,wjs**,깨끗하고 친절하셔서 좋았어요,5.0,0
2020.10.22,69083,hey**,깨끗하고 좋아요,5.0,0
2020.10.06,69083,hey**,깨끗하고 좋아요.컴퓨터 속터지는것만 삐고요,5.0,0
2020.07.31,69083,jmy**,항상 만족하며 이용해요,5.0,0
2020.06.21,69083,jin**,"다 좋습니다!!!!!!!!
추천 드릴정도로요!",5.0,0
